"tls","tms","trs","mls","mms","mrs","bls","bms","brs","class"
"x","o",NA,"o",NA,"x","o",NA,NA,"positive"
"o","x","x","b",NA,"b","x","o",NA,"positive"
"x","b",NA,NA,"x","x","o",NA,"x","positive"
"x","b",NA,NA,"b","b","x","b","o","positive"
"o","o",NA,NA,"x","b","x","x","b","positive"
"x","o","o","x","o","b","x","b",NA,"positive"
"b","o",NA,NA,NA,"b","b",NA,"x","negative"
"x","o","x",NA,NA,"x","b",NA,NA,"positive"
"x","o",NA,NA,"o","o","x",NA,NA,"positive"
"x","x",NA,"x",NA,"b","o",NA,"o","negative"
"b","o","o","x",NA,"o","x","x","o","negative"
"x","b",NA,"x","x","o","o","o",NA,"negative"
"o","x",NA,NA,NA,"b","b","x",NA,"negative"
"x","x",NA,"b","b","o","x","o","o","positive"
"o","o",NA,"x","x","x","x",NA,NA,"positive"
"x","o",NA,"x",NA,"x","o","o","b","negative"
"o","x",NA,"x","o","b","x",NA,NA,"negative"
"x","b",NA,NA,"x","o","b",NA,NA,"positive"
"o","o","x","x",NA,"x","o",NA,NA,"positive"
"o","o",NA,NA,NA,"x","x",NA,"b","negative"
"b","o","x",NA,"x","o","x","x",NA,"positive"
"b","b","o","b","o","x","o",NA,"x","negative"
"o","b","b",NA,"o","x","x",NA,"o","negative"
"b","o","o","x",NA,"x","b",NA,NA,"positive"
"x","o",NA,"x","x","x","o",NA,"b","positive"
"x","b",NA,NA,"o","x","o",NA,NA,"positive"
"x","o",NA,NA,"x","o","x","x","o","positive"
"x","x",NA,"b",NA,"o","o",NA,"x","positive"
"x","b",NA,NA,NA,"o","x",NA,NA,"negative"
"b","o","b","x","o","x","b",NA,"x","negative"
"o","x",NA,"x","o","x","o",NA,"b","negative"
"x","b","o","x","o","x","x","b","o","positive"
"x","b","b","x",NA,"b","x","o",NA,"positive"
"b","o","b",NA,"x","x","b",NA,"o","positive"
"x","x","o",NA,NA,"o","o","x",NA,"positive"
"b","x","o",NA,"x","o","x","o",NA,"negative"
"b","b",NA,"x",NA,"o","x",NA,NA,"positive"
"x","o","x","x",NA,"b","o","o","x","negative"
"b","x",NA,"b",NA,"b","o",NA,"x","negative"
"o","o","b",NA,"o","b","x",NA,NA,"positive"
"o","b","x",NA,"x","o","x","o","b","positive"
"o","o","o",NA,"b","x","x","b",NA,"negative"
"x","x","o",NA,NA,"o","x","o",NA,"positive"
"o","x",NA,NA,"o","x","o","b",NA,"negative"
"o","b",NA,"o","x","x","o",NA,NA,"negative"
"o","b",NA,NA,"x","x","x","o","b","positive"
"o","b","o",NA,NA,"x","x",NA,NA,"positive"
"b","o","x",NA,"x","b","x","b","b","positive"
"o","x",NA,NA,NA,"x","x","o",NA,"positive"
"x","x",NA,"b","b","o","x","b","o","negative"
"o","x",NA,"o",NA,"o","b",NA,NA,"positive"
"o","o","x",NA,NA,"x","x","b",NA,"positive"
"o","b",NA,NA,NA,"x","b",NA,NA,"positive"
"x","o",NA,"x","x","o","o",NA,NA,"negative"
"x","b",NA,NA,"x","o","o",NA,NA,"positive"
"o","x",NA,NA,"x","x","o","b",NA,"negative"
"x","o","b","o","x","b","o","x","x","positive"
"x","o","x","o",NA,"o","b",NA,NA,"negative"
"x","o",NA,NA,"x","o","x",NA,NA,"positive"
"x","o",NA,"x",NA,"o","x","x","o","positive"
"x","x","o","b","x","o","b",NA,"o","negative"
"x","x",NA,NA,"b","b","b",NA,NA,"positive"
"b","x",NA,NA,"x","b","o","x","b","positive"
"x","b","b",NA,"x","o","b",NA,NA,"positive"
"o","b",NA,NA,"o","x","x","x","o","negative"
"b","x",NA,"b",NA,"o","x",NA,NA,"positive"
"o","x",NA,"b",NA,"x","o","o",NA,"positive"
"b","o","x","b",NA,"x","x",NA,NA,"negative"
"x","o",NA,"b",NA,"x","b","o",NA,"negative"
"o","b","x","o","b","o","x",NA,"x","positive"
"o","b",NA,"x","x","x","o",NA,"o","positive"
"x","x","x",NA,NA,"o","o",NA,"o","positive"
"x","x","o","b",NA,"x","o","x","o","negative"
"o","x","b",NA,NA,"o","b",NA,"o","positive"
"x","x","x",NA,"b","o","b","b",NA,"positive"
"x","o",NA,"b",NA,"b","b",NA,"x","positive"
"x","o",NA,NA,"x","x","o","o","x","positive"
"o","o",NA,"x","o","x","b",NA,"x","positive"
"x","b",NA,"o",NA,"o","b","x","x","positive"
"b","x",NA,"o","x","o","x","x","o","positive"
"o","o",NA,NA,NA,"o","x",NA,"x","positive"
"o","o",NA,NA,"o","x","b","x","o","negative"
"o","o","o","x",NA,"x","o","x","x","negative"
"o","x",NA,"o",NA,"x","o",NA,NA,"negative"
"x","x","o",NA,NA,"o","b","o","x","positive"
"x","b","b","o",NA,"o","o",NA,NA,"positive"
"o","x",NA,NA,"o","x","x",NA,NA,"negative"
"x","b",NA,NA,NA,"o","x","b","o","positive"
"x","x",NA,"o",NA,"o","b",NA,NA,"positive"
"o","x",NA,NA,NA,"o","x",NA,"o","negative"
"x","b",NA,NA,NA,"x","o",NA,"x","negative"
"x","o","o",NA,"x","b","x","b",NA,"positive"
"b","x",NA,"o","o","x","o","b",NA,"positive"
"b","x",NA,NA,NA,"o","x",NA,"b","negative"
"b","b",NA,NA,NA,"x","o",NA,"x","positive"
"x","o",NA,NA,NA,"x","x","o",NA,"negative"
"b","b",NA,"o","o","x","x",NA,NA,"positive"
"o","x","x",NA,NA,"o","x","b",NA,"negative"
"o","b","x","o","x","o","o",NA,"x","negative"
"o","x",NA,NA,"b","b","o","b",NA,"negative"
"b","b",NA,NA,NA,"o","x","x",NA,"negative"
"x","x","o",NA,NA,"b","o",NA,"x","negative"
"o","o","o","x","b","x","x",NA,NA,"negative"
"x","o",NA,NA,NA,"o","x",NA,NA,"positive"
"x","o","x","o",NA,"b","b",NA,NA,"positive"
"x","x",NA,NA,"b","o","o",NA,NA,"positive"
"o","o",NA,"x","b","x","o","b","x","positive"
"x","b","x",NA,"o","o","x",NA,"o","negative"
"b","x",NA,NA,NA,"o","x",NA,"o","negative"
"x","x","b",NA,NA,"o","o",NA,"o","negative"
"o","o","o",NA,NA,"o","b","x","x","negative"
"b","b",NA,"x",NA,"x","b",NA,NA,"positive"
"x","o",NA,NA,"b","o","x","o",NA,"positive"
"x","o","o",NA,NA,"b","b",NA,"x","positive"
"x","o",NA,NA,NA,"x","b",NA,NA,"positive"
"x","x","x",NA,"x","o","b",NA,NA,"positive"
"x","o","b","b","x","o","x",NA,NA,"positive"
"x","x","x","o",NA,"o","o",NA,"b","positive"
"o","o","x",NA,"o","b","x","x",NA,"negative"
"b","o","x",NA,"x","o","x",NA,"b","positive"
"x","b",NA,"o","o","o","b","x","b","negative"
"x","b",NA,NA,"o","o","b",NA,NA,"negative"
"b","o","x","b","b","x","b","o",NA,"positive"
"o","x",NA,NA,NA,"o","x",NA,"o","negative"
"x","b","o","x","b","o","b","x",NA,"negative"
"o","x",NA,"x",NA,"o","x","o","o","positive"
"b","o","b","x",NA,"x","o",NA,NA,"positive"
"b","o",NA,"o","o","b","x",NA,NA,"positive"
"o","x",NA,NA,NA,"o","x","b","x","negative"
"x","b","x",NA,NA,"b","x",NA,NA,"positive"
"b","o","b","o",NA,"b","x","x","x","positive"
"o","x",NA,"x","x","b","o","x",NA,"positive"
"o","b",NA,"o",NA,"b","o",NA,"x","negative"
"x","x","b",NA,"o","b","x","o",NA,"positive"
"x","o",NA,NA,NA,"b","b",NA,NA,"positive"
"o","o","b",NA,"x","x","o",NA,"b","positive"
"x","b",NA,"x","o","x","x","o",NA,"positive"
"o","x",NA,"o",NA,"b","o",NA,"x","negative"
"b","x","o",NA,"o","x","o",NA,NA,"negative"
"o","x",NA,NA,"x","b","o",NA,NA,"negative"
"x","b",NA,"x","o","o","x","o","b","positive"
"x","x","b",NA,NA,"b","o",NA,NA,"positive"
"b","b","o",NA,NA,"x","o",NA,"b","positive"
"x","x",NA,"x",NA,"o","b",NA,"o","negative"
"o","x",NA,NA,"x","b","b",NA,"b","positive"
"x","b",NA,NA,"x","x","b",NA,"o","positive"
"b","b","x","o","x","x","x",NA,"o","positive"
"b","b",NA,"b","o","o","x","x","x","positive"
"b","x",NA,"o",NA,"o","b",NA,NA,"negative"
"o","o","o","b","x","x","x","x",NA,"negative"
"o","o","o",NA,"x","b","x",NA,NA,"negative"
"o","o","x",NA,NA,"x","b",NA,"x","positive"
"o","b","x","o","x","b","x","b","b","positive"
"o","b",NA,NA,"o","b","b","x",NA,"negative"
"b","x",NA,NA,NA,"b","o","x",NA,"negative"
"o","b","b","o","x","x","o",NA,"b","negative"
"x","b",NA,NA,"o","o","b",NA,"x","negative"
"x","x","o","x",NA,"x","o",NA,NA,"negative"
"o","x","b","o","o","b","x",NA,"x","positive"
"x","x",NA,"o","o","b","b","x",NA,"positive"
"b","o","o",NA,NA,"b","x","x","x","positive"
"b","o","x",NA,"x","o","x",NA,"b","positive"
"x","o",NA,NA,NA,"x","x",NA,"o","negative"
"x","x",NA,"o","x","o","b","b","x","positive"
"x","o",NA,NA,"o","b","x",NA,"b","positive"
"x","b",NA,"o",NA,"x","b","o","x","positive"
"x","b",NA,"o","o","o","o",NA,"x","negative"
"b","b",NA,"x",NA,"x","o","o",NA,"positive"
"o","o","x","b","x","b","x","b",NA,"positive"
"o","o","o","b",NA,"b","x",NA,NA,"negative"
"b","o","o",NA,NA,"x","x","o","b","positive"
"x","x",NA,"o",NA,"o","x","b",NA,"negative"
"x","x",NA,"o","x","b","b",NA,"x","positive"
"x","b","o",NA,"x","b","x","o",NA,"positive"
"b","x",NA,"b","x","b","o",NA,NA,"negative"
"b","o",NA,"b",NA,"x","x","x",NA,"positive"
"o","b","x","x",NA,"x","o",NA,NA,"positive"
"x","b",NA,NA,NA,"o","b",NA,"o","negative"
"x","o",NA,"x",NA,"x","b","o","b","negative"
"x","x","x","o",NA,"x","o",NA,"o","positive"
"o","b","x",NA,NA,"x","x",NA,NA,"negative"
"x","x","o",NA,"o","o","x",NA,NA,"negative"
"b","o","x",NA,NA,"x","x",NA,"o","positive"
"o","x",NA,"o","x","x","b",NA,"b","positive"
"b","o",NA,"x",NA,"b","x","o",NA,"negative"
"x","x",NA,NA,"o","x","o","o",NA,"positive"
"b","b","x",NA,"x","b","x","b","o","positive"
"b","x",NA,"b","x","o","o","x",NA,"positive"
"x","x","x",NA,"o","b","x","b","o","positive"
"o","b","b","x","x","x","o",NA,NA,"positive"
"x","b",NA,NA,"x","o","x",NA,NA,"positive"
"x","b",NA,NA,"o","x","x",NA,"o","positive"
"x","x","x",NA,"o","x","x",NA,NA,"positive"
"x","x",NA,"b",NA,"o","o","o","x","positive"
"o","x",NA,NA,"o","x","x","b",NA,"negative"
"x","x",NA,"b",NA,"x","o",NA,NA,"positive"
"o","x","x",NA,"o","x","b","o",NA,"positive"
"o","x","x","o",NA,"o","x","o","x","positive"
"x","x",NA,NA,"o","o","o","x","o","positive"
"x","o","x",NA,"x","o","x",NA,"o","positive"
"o","x","x","o",NA,"x","b",NA,NA,"positive"
"b","o","b",NA,"x","o","x","x","x","positive"
"x","o",NA,"b",NA,"b","x",NA,"o","positive"
"x","b",NA,"x","x","b","o",NA,"x","positive"
"x","o","b",NA,NA,"b","x","o","x","positive"
"x","b","x","o","b","x","o",NA,"x","positive"
"x","o",NA,"b","b","o","x","x","x","positive"
"x","o","o",NA,"x","x","o","b","x","positive"
"o","b","x",NA,NA,"b","x",NA,"x","positive"
"o","b","x","o",NA,"b","x",NA,NA,"positive"
"x","o",NA,"o",NA,"o","x","x","x","positive"
"x","o","x",NA,"o","b","x","b","o","positive"
"o","x",NA,"x","o","o","o","x",NA,"negative"
"x","b",NA,"o","o","x","o","x",NA,"negative"
"o","x","b","b","x","b","o",NA,"b","positive"
"x","o","b","x","o","x","x","b",NA,"positive"
"b","x","o","x",NA,"o","o","x",NA,"negative"
"o","o",NA,NA,NA,"x","x","b","b","negative"
"o","b","x",NA,NA,"b","x","b",NA,"negative"
"o","x",NA,NA,"o","o","x",NA,NA,"negative"
"b","o","o",NA,NA,"o","x",NA,NA,"positive"
"x","x","o",NA,"b","o","b","b",NA,"negative"
"b","o",NA,"o","o","x","b",NA,"x","positive"
"o","o","x","b","o","x","b","x",NA,"positive"
"b","o",NA,"x","o","x","x",NA,NA,"negative"
"x","o",NA,NA,NA,"o","b","x",NA,"negative"
"x","x",NA,"b",NA,"b","b",NA,NA,"positive"
"o","b","o",NA,"o","b","x",NA,NA,"positive"
"x","o",NA,"x",NA,"b","x",NA,"b","positive"
"o","o",NA,NA,"x","o","x","b","x","negative"
"x","b","o","o","b","o","x",NA,NA,"positive"
"o","o",NA,NA,NA,"b","x",NA,"x","positive"
"o","b",NA,NA,"o","b","x",NA,"x","positive"
"x","o",NA,"o","b","o","x","x",NA,"positive"
"x","b",NA,NA,NA,"o","x",NA,NA,"positive"
"x","b","b","x",NA,"o","x","o","x","positive"
"x","o",NA,NA,"b","o","x","o","b","positive"
"o","o",NA,"x","b","o","x","x","x","positive"
"x","o","b","x","o","b","x",NA,"o","positive"
"o","x",NA,"o",NA,"b","o",NA,"b","negative"
"o","o",NA,"x","x","b","b","b","x","negative"
"b","o",NA,NA,NA,"b","x",NA,"b","negative"
"o","o","x",NA,NA,"x","x","x",NA,"positive"
"b","x",NA,NA,"x","o","o",NA,NA,"positive"
"o","b","x",NA,"b","x","o","o",NA,"positive"
"b","x","o","b",NA,"o","x",NA,"o","negative"
"b","o",NA,NA,NA,"x","b",NA,"x","positive"
"x","x","b",NA,NA,"o","o",NA,NA,"positive"
"x","x",NA,NA,NA,"o","o","x",NA,"negative"
"x","o","x",NA,NA,"b","x","o","x","negative"
"x","o","o",NA,NA,"x","x","o",NA,"positive"
"x","x",NA,"x",NA,"o","b",NA,"b","positive"
"b","x","x","o","x","o","b","x",NA,"positive"
"o","o","x","b",NA,"x","x","o",NA,"positive"
"b","x","x","o",NA,"o","o","x",NA,"positive"
"o","x",NA,NA,NA,"x","o",NA,NA,"positive"
"x","o",NA,"b",NA,"x","b","o","x","negative"
"b","o",NA,"o",NA,"b","x","x",NA,"positive"
"b","x","b",NA,"o","o","x",NA,NA,"negative"
"o","x","x","o",NA,"o","o",NA,NA,"negative"
"x","x",NA,NA,NA,"b","o",NA,NA,"positive"
"b","x","o","x",NA,"o","x","b","o","negative"
"o","x",NA,"o",NA,"x","o","o","x","negative"
"b","b","o",NA,"x","o","x","x","o","negative"
"x","o","o",NA,NA,"b","o",NA,"x","negative"
"o","x","o","x","x","o","b",NA,NA,"positive"
"b","b",NA,"o","o","x","o","x","x","positive"
"o","b",NA,NA,NA,"b","x","x","o","negative"
"o","x","o","x",NA,"o","x",NA,NA,"positive"
"x","x","x",NA,NA,"o","x","b","o","positive"
"x","x","b",NA,"o","o","x",NA,NA,"negative"
"o","o","o",NA,"o","x","x","b",NA,"negative"
"x","o","o",NA,NA,"o","b","x",NA,"positive"
"b","o","x","x","x","x","o",NA,NA,"positive"
"x","b","b","x",NA,"o","x","o","b","positive"
"o","o",NA,"x","b","x","x","x",NA,"negative"
"b","b",NA,"x","x","b","o",NA,"o","negative"
"x","b","o","b","x","b","b",NA,NA,"positive"
"x","o","b",NA,NA,"o","x",NA,"b","positive"
"b","o","o",NA,"x","x","o",NA,NA,"positive"
"o","x","x","o","o","x","b",NA,NA,"negative"
"b","x","b","x","x","b","o","o","o","negative"
"o","x","x",NA,NA,"o","o",NA,NA,"negative"
"x","o","o","x","o","x","b",NA,NA,"negative"
"x","o",NA,NA,NA,"b","x",NA,"b","positive"
"x","o","x","x","b","x","o",NA,NA,"negative"
"b","x",NA,NA,"x","b","o","x","b","positive"
"x","b","x",NA,NA,"x","o","o",NA,"negative"
"o","o","o",NA,"b","b","b","x",NA,"negative"
"o","b",NA,"x","x","x","b",NA,"o","positive"
"o","x","o","b","b","o","x","x","x","positive"
"x","x","x","b",NA,"b","o","x","o","positive"
"x","x",NA,"x","o","b","o",NA,NA,"positive"
"x","o",NA,NA,NA,"x","b",NA,NA,"positive"
"x","b",NA,NA,"x","o","x",NA,NA,"positive"
"x","x","x",NA,NA,"o","o",NA,"b","positive"
"o","x","x","o",NA,"o","x",NA,NA,"positive"
"o","o","x","x",NA,"x","b","o","b","positive"
"o","o",NA,"x",NA,"x","x",NA,NA,"negative"
"o","o","x","o",NA,"x","b","x","x","positive"
"x","o","x",NA,NA,"o","x","b",NA,"negative"
"o","x","b","o","o","x","o",NA,"x","negative"
"b","o","o",NA,"b","x","x",NA,NA,"positive"
"x","x","x",NA,"o","o","b","x",NA,"positive"
"x","x","x","b",NA,"o","o",NA,NA,"positive"
"o","o",NA,NA,"o","x","b","x","x","negative"
"o","o",NA,"x",NA,"x","o",NA,"x","positive"
"b","b","x","b",NA,"o","x","o","b","positive"
"x","b",NA,NA,"x","o","x",NA,"x","positive"
"o","b","x",NA,"x","o","x","x",NA,"positive"
"x","o",NA,"x",NA,"b","x","o","b","positive"
"x","o","x","x",NA,"o","x","b",NA,"positive"
"o","x","b","b","x","o","b",NA,NA,"positive"
"o","o","x",NA,NA,"o","x","x",NA,"positive"
"b","o",NA,NA,NA,"b","x","x","x","positive"
"o","b","o",NA,"o","x","x","x","x","positive"
"x","x",NA,"b","o","b","o",NA,NA,"negative"
"o","b","o",NA,"x","x","o",NA,"b","positive"
"o","x","b","b",NA,"o","x","x",NA,"positive"
"o","x","x","b",NA,"x","x","o",NA,"negative"
"b","x","o",NA,"o","o","x",NA,NA,"positive"
"o","o",NA,"x","x","x","b","x","o","positive"
"o","b",NA,NA,NA,"o","x",NA,NA,"negative"
"b","o",NA,"x",NA,"o","x","b",NA,"positive"
"o","o","x",NA,"x","b","x","o",NA,"positive"
"b","o",NA,"x","b","o","x",NA,NA,"positive"
"o","x",NA,NA,NA,"x","o",NA,"o","negative"
"o","b","b",NA,NA,"b","x",NA,NA,"positive"
"x","o","x","x","o","x","o","x","o","negative"
"x","o","o","b","o","b","x","x",NA,"positive"
"o","o","x",NA,NA,"b","x",NA,NA,"positive"
"b","x","x","x",NA,"x","o","o",NA,"negative"
"o","b","o",NA,NA,"x","x","x",NA,"negative"
"o","b","b",NA,"x","x","o",NA,NA,"negative"
"b","b","x","o",NA,"o","x",NA,NA,"positive"
"o","x","x","x",NA,"o","o",NA,NA,"positive"
"x","x",NA,"b",NA,"b","o","b",NA,"positive"
"x","x","o",NA,"o","o","b",NA,"x","negative"
"x","o",NA,"x",NA,"o","o","x",NA,"positive"
"b","o",NA,"x",NA,"x","x","o",NA,"positive"
"x","x",NA,"o","b","b","x","o","o","positive"
"o","x",NA,NA,NA,"o","b","x",NA,"positive"
"x","x","x","o","b","o","x",NA,NA,"positive"
"x","b","x",NA,NA,"o","x",NA,"b","negative"
"o","b",NA,NA,NA,"x","o","x","b","negative"
"x","x","x",NA,"b","b","o",NA,NA,"positive"
"b","x","o",NA,NA,"x","b","o","o","positive"
"x","x","o","x",NA,"b","x","b","o","positive"
"o","o","o",NA,NA,"x","b","x","b","negative"
"x","x",NA,"b","x","o","o","x",NA,"positive"
"b","x","x",NA,"x","b","o","x",NA,"positive"
"x","b",NA,NA,NA,"x","o","o",NA,"positive"
"x","x",NA,NA,"o","o","o","b","b","positive"
"b","o","x","o","x","x","o","b","x","positive"
"x","b",NA,"b",NA,"x","o","o","o","negative"
"o","x","o","o",NA,"x","x","x","x","positive"
"x","o","x",NA,"x","x","o","x","o","negative"
"o","x",NA,"x",NA,"o","x","x","o","negative"
"x","b","b",NA,NA,"o","x",NA,NA,"positive"
"x","o","x",NA,"o","x","x",NA,NA,"negative"
"x","x","o","o","o","x","x","x","o","negative"
"o","o",NA,"x","b","x","b","b",NA,"negative"
"x","b",NA,NA,"x","b","x","o",NA,"positive"
"o","x","x",NA,"x","x","o","o",NA,"negative"
"o","x","o","o","x","x","x","o",NA,"negative"
"o","x","o",NA,"b","b","x","x",NA,"positive"
"x","x",NA,"b","b","o","b","b","o","positive"
"x","o",NA,NA,NA,"b","o","x","x","positive"
"o","x","o","x","x","o","o",NA,"x","positive"
"x","o","b","x",NA,"o","x",NA,NA,"positive"
"x","x","x","x","o","o","o","o",NA,"positive"
"x","x","b",NA,NA,"o","o","x",NA,"positive"
"b","b",NA,"b","x","o","x",NA,"o","positive"
"o","b","x","x","x","x","o","b","o","positive"
"b","x",NA,"x",NA,"o","b",NA,"o","negative"
"o","x",NA,"b",NA,"b","x",NA,"o","negative"
"b","o",NA,"x",NA,"x","o",NA,"x","positive"
"x","o",NA,NA,NA,"x","x","x",NA,"positive"
"b","o","x","o","x","b","x",NA,"o","positive"
"x","x","x","b","o","b","b",NA,"b","positive"
"x","b",NA,"b",NA,"o","o",NA,NA,"positive"
"b","o","x",NA,"x","x","o","o",NA,"positive"
"o","o",NA,NA,NA,"b","x",NA,"b","negative"
"o","o",NA,NA,"b","x","b",NA,"b","negative"
"o","x",NA,"b","o","x","o","x","o","negative"
"o","x",NA,NA,NA,"o","x","x",NA,"negative"
"x","x",NA,"b",NA,"o","b",NA,"b","positive"
"o","o","b",NA,NA,"b","x","x",NA,"positive"
"b","o","x",NA,"o","o","x",NA,NA,"negative"
"x","o",NA,NA,"x","o","b","b","x","positive"
"x","o",NA,NA,NA,"x","x",NA,"o","negative"
"o","x",NA,NA,"x","b","x","b",NA,"positive"
"o","o",NA,"b",NA,"b","b","x","x","negative"
"b","o",NA,"o","x","b","x",NA,NA,"positive"
"x","o",NA,"x",NA,"o","o",NA,"x","positive"
"o","o",NA,NA,NA,"o","x","x","x","positive"
"b","b","o","o",NA,"b","x",NA,"x","positive"
"o","x","x","b",NA,"x","o",NA,NA,"negative"
"o","b",NA,"b","b","x","b",NA,"x","positive"
"b","b",NA,NA,NA,"o","x","x","x","positive"
"x","o",NA,"b",NA,"b","x","o",NA,"negative"
"b","b",NA,NA,"x","x","b","o","b","positive"
"x","x",NA,NA,"o","o","x",NA,NA,"positive"
"o","o","x","b","b","o","x",NA,"x","positive"
"b","o","o",NA,NA,"x","x",NA,NA,"positive"
"x","x",NA,NA,"b","x","b",NA,"o","positive"
"x","b","b","o","o","o","x","b","x","negative"
"x","b",NA,NA,"x","o","x","o",NA,"positive"
"b","o","o",NA,NA,"x","o","x","b","positive"
"x","x",NA,NA,NA,"o","o",NA,NA,"positive"
"x","x","o","o","x","o","x",NA,NA,"positive"
"x","b",NA,"o","x","b","o","o",NA,"positive"
"o","x",NA,"x","o","x","b",NA,"o","negative"
"b","b","o",NA,"o","b","x","x","x","positive"
"b","b",NA,"o","o","x","x",NA,"x","positive"
"o","b","x","x",NA,"x","b","b",NA,"negative"
"x","x","x",NA,"o","b","o",NA,"b","positive"
"x","b","o","x",NA,"x","o","b","o","positive"
"o","x",NA,"o",NA,"b","b",NA,"o","positive"
"x","x",NA,"x",NA,"x","o","o",NA,"negative"
"o","o",NA,NA,NA,"x","o",NA,"x","positive"
"x","b","o",NA,"o","b","x",NA,NA,"positive"
"x","o",NA,"b","x","x","o",NA,NA,"positive"
"b","b","o",NA,"x","x","o",NA,NA,"positive"
"o","x","x","x",NA,"x","o","o",NA,"positive"
"o","x","b",NA,NA,"x","x","x","o","negative"
"o","b","x","b","o","x","x",NA,"x","positive"
"o","x","b","o","x","x","o","b",NA,"negative"
"o","b","x","b","x","o","x","x","o","positive"
"o","b",NA,NA,"o","x","x","o","o","negative"
"b","o","x",NA,"o","o","x",NA,"x","positive"
"x","x",NA,NA,NA,"o","b",NA,NA,"negative"
"x","o",NA,"b","b","x","o",NA,NA,"positive"
"b","o",NA,NA,NA,"x","b",NA,"x","positive"
"o","x","x","o",NA,"o","o","b","x","negative"
"o","x","x",NA,"o","x","b","o",NA,"negative"
"b","x","x","o","o","o","x","o",NA,"negative"
"o","o",NA,"b",NA,"x","x","o","x","negative"
"b","b","o",NA,NA,"x","x",NA,NA,"positive"
"x","x",NA,NA,"o","b","o","x","o","negative"
"x","x","o","b",NA,"o","o","x","x","negative"
"x","b","x",NA,"x","o","o",NA,NA,"positive"
