"tls","tms","trs","mls","mms","mrs","bls","bms","brs","class"
"o","x","b","b","o","x","x","b",NA,"negative"
"x","x","b","b","x","o","o","o",NA,"positive"
"x","o",NA,"b","o","o","x","x",NA,"positive"
"x","o",NA,"o","x","o","x","o","x","positive"
"b","b","x","o","b","x","b","o","x","positive"
"o","b",NA,"b","x","o","x","b",NA,"positive"
"x","x","x","o","o","b","x","o","b","positive"
"o","o",NA,"o","x","x","x","x",NA,"positive"
"x","b",NA,"b","o","o","x","x",NA,"positive"
"o","o",NA,"x","x","x","x","o",NA,"positive"
"x","o",NA,"o","o","x","x","o",NA,"negative"
"b","x","o","o","x","x","o","x","b","positive"
"o","x",NA,"b","o","x","o","x","x","negative"
"x","x",NA,"o","b","o","x","x","o","negative"
"x","o",NA,"o","o","x","o","x",NA,"positive"
"o","x","x","b","x","b","x","o",NA,"positive"
"x","b",NA,"b","x","x","o","o","x","positive"
"x","b",NA,"x","b","b","x","b","o","positive"
"o","o",NA,"o","x","b","x","x","b","positive"
"x","o","o","x","o","b","x","b",NA,"positive"
"b","o",NA,"x","o","b","b","o","x","negative"
"x","o","x","o","b","x","b","o",NA,"positive"
"x","o",NA,"x","o","o","x","x",NA,"positive"
"x","x",NA,"x","x","b","o","o","o","negative"
"b","o","o","x","x","o","x","x","o","negative"
"x","b",NA,"x","x","o","o","o",NA,"negative"
"o","x",NA,"b","o","b","b","x",NA,"negative"
"x","x",NA,"b","b","o","x","o","o","positive"
"o","o",NA,"x","x","x","x","b",NA,"positive"
"x","o",NA,"x","o","x","o","o","b","negative"
"o","x",NA,"x","o","b","x","x",NA,"negative"
"x","b",NA,"x","x","o","b","o",NA,"positive"
"o","o","x","x","o","x","o","x",NA,"positive"
"o","o",NA,"x","o","x","x","o","b","negative"
"b","o","x","b","x","o","x","x",NA,"positive"
"b","b","o","b","o","x","o","x","x","negative"
"o","b","b","x","o","x","x","b","o","negative"
"b","o","o","x","x","x","b","x",NA,"positive"
"x","o",NA,"x","x","x","o","b","b","positive"
"x","b",NA,"b","o","x","o","o",NA,"positive"
"x","o",NA,"o","x","o","x","x","o","positive"
"x","x",NA,"b","x","o","o","b","x","positive"
"x","b",NA,"b","b","o","x","x",NA,"negative"
"b","o","b","x","o","x","b","o","x","negative"
"o","x",NA,"x","o","x","o","x","b","negative"
"x","b","o","x","o","x","x","b","o","positive"
"x","b","b","x","b","b","x","o",NA,"positive"
"b","o","b","x","x","x","b","b","o","positive"
"x","x","o","o","x","o","o","x",NA,"positive"
"b","x","o","x","x","o","x","o",NA,"negative"
"b","b",NA,"x","o","o","x","x",NA,"positive"
"x","o","x","x","o","b","o","o","x","negative"
"b","x",NA,"b","o","b","o","x","x","negative"
"o","o","b","x","o","b","x","x",NA,"positive"
"o","b","x","x","x","o","x","o","b","positive"
"o","o","o","x","b","x","x","b",NA,"negative"
"x","x","o","x","o","o","x","o",NA,"positive"
"o","x",NA,"x","o","x","o","b",NA,"negative"
"o","b",NA,"o","x","x","o","b",NA,"negative"
"o","b",NA,"o","x","x","x","o","b","positive"
"o","b","o","o","b","x","x","x",NA,"positive"
"b","o","x","o","x","b","x","b","b","positive"
"o","x",NA,"x","x","x","x","o",NA,"positive"
"x","x",NA,"b","b","o","x","b","o","negative"
"o","x",NA,"o","x","o","b","x",NA,"positive"
"o","o","x","o","x","x","x","b",NA,"positive"
"o","b",NA,"b","o","x","b","b",NA,"positive"
"x","o",NA,"x","x","o","o","x",NA,"negative"
"x","b",NA,"b","x","o","o","o",NA,"positive"
"o","x",NA,"o","x","x","o","b",NA,"negative"
"x","o","b","o","x","b","o","x","x","positive"
"x","o","x","o","o","o","b","x",NA,"negative"
"x","o",NA,"o","x","o","x","b",NA,"positive"
"x","o",NA,"x","o","o","x","x","o","positive"
"x","x","o","b","x","o","b","b","o","negative"
"x","x",NA,"o","b","b","b","o",NA,"positive"
"b","x",NA,"b","x","b","o","x","b","positive"
"x","b","b","o","x","o","b","b",NA,"positive"
"o","b",NA,"o","o","x","x","x","o","negative"
"b","x",NA,"b","x","o","x","o",NA,"positive"
"o","x",NA,"b","b","x","o","o",NA,"positive"
"b","o","x","b","o","x","x","o",NA,"negative"
"x","o",NA,"b","o","x","b","o",NA,"negative"
"o","b","x","o","b","o","x","x","x","positive"
"o","b",NA,"x","x","x","o","x","o","positive"
"x","x","x","b","x","o","o","b","o","positive"
"x","x","o","b","o","x","o","x","o","negative"
"o","x","b","x","x","o","b","x","o","positive"
"x","x","x","o","b","o","b","b",NA,"positive"
"x","o",NA,"b","x","b","b","o","x","positive"
"x","o",NA,"x","x","x","o","o","x","positive"
"o","o",NA,"x","o","x","b","b","x","positive"
"x","b",NA,"o","x","o","b","x","x","positive"
"b","x",NA,"o","x","o","x","x","o","positive"
"o","o",NA,"x","x","o","x","o","x","positive"
"o","o",NA,"x","o","x","b","x","o","negative"
"o","o","o","x","b","x","o","x","x","negative"
"o","x",NA,"o","b","x","o","b",NA,"negative"
"x","x","o","b","x","o","b","o","x","positive"
"x","b","b","o","x","o","o","x",NA,"positive"
"o","x",NA,"x","o","x","x","o",NA,"negative"
"x","b",NA,"x","b","o","x","b","o","positive"
"x","x",NA,"o","x","o","b","o",NA,"positive"
"o","x",NA,"x","x","o","x","b","o","negative"
"x","b",NA,"b","o","x","o","b","x","negative"
"x","o","o","x","x","b","x","b",NA,"positive"
"b","x",NA,"o","o","x","o","b",NA,"positive"
"b","x",NA,"o","o","o","x","x","b","negative"
"b","b",NA,"o","b","x","o","b","x","positive"
"x","o",NA,"b","o","x","x","o",NA,"negative"
"b","b",NA,"o","o","x","x","o",NA,"positive"
"o","x","x","x","o","o","x","b",NA,"negative"
"o","b","x","o","x","o","o","x","x","negative"
"o","x",NA,"o","b","b","o","b",NA,"negative"
"b","b",NA,"o","o","o","x","x",NA,"negative"
"x","x","o","b","o","b","o","b","x","negative"
"o","o","o","x","b","x","x","o",NA,"negative"
"x","o",NA,"x","o","o","x","x",NA,"positive"
"x","o","x","o","x","b","b","o",NA,"positive"
"x","x",NA,"x","b","o","o","b",NA,"positive"
"o","o",NA,"x","b","x","o","b","x","positive"
"x","b","x","o","o","o","x","x","o","negative"
"b","x",NA,"b","x","o","x","b","o","negative"
"x","x","b","x","x","o","o","o","o","negative"
"o","o","o","x","x","o","b","x","x","negative"
"b","b",NA,"x","x","x","b","o",NA,"positive"
"x","o",NA,"x","b","o","x","o",NA,"positive"
"x","o","o","b","x","b","b","b","x","positive"
"x","o",NA,"x","x","x","b","o",NA,"positive"
"x","x","x","o","x","o","b","b",NA,"positive"
"x","o","b","b","x","o","x","o",NA,"positive"
"x","x","x","o","b","o","o","x","b","positive"
"o","o","x","x","o","b","x","x",NA,"negative"
"b","o","x","x","x","o","x","o","b","positive"
"x","b",NA,"o","o","o","b","x","b","negative"
"x","b",NA,"o","o","o","b","b",NA,"negative"
"b","o","x","b","b","x","b","o",NA,"positive"
"o","x",NA,"b","o","o","x","x","o","negative"
"x","b","o","x","b","o","b","x",NA,"negative"
"o","x",NA,"x","x","o","x","o","o","positive"
"b","o","b","x","x","x","o","x",NA,"positive"
"b","o",NA,"o","o","b","x","x",NA,"positive"
"o","x",NA,"o","o","o","x","b","x","negative"
"x","b","x","x","o","b","x","o",NA,"positive"
"b","o","b","o","b","b","x","x","x","positive"
"o","x",NA,"x","x","b","o","x",NA,"positive"
"o","b",NA,"o","x","b","o","x","x","negative"
"x","x","b","x","o","b","x","o",NA,"positive"
"x","o",NA,"o","x","b","b","b",NA,"positive"
"o","o","b","x","x","x","o","x","b","positive"
"x","b",NA,"x","o","x","x","o",NA,"positive"
"o","x",NA,"o","o","b","o","x","x","negative"
"b","x","o","b","o","x","o","b",NA,"negative"
"o","x",NA,"o","x","b","o","b",NA,"negative"
"x","b",NA,"x","o","o","x","o","b","positive"
"x","x","b","o","x","b","o","x",NA,"positive"
"b","b","o","x","x","x","o","b","b","positive"
"x","x",NA,"x","o","o","b","x","o","negative"
"o","x",NA,"b","x","b","b","x","b","positive"
"x","b",NA,"x","x","x","b","o","o","positive"
"b","b","x","o","x","x","x","o","o","positive"
"b","b",NA,"b","o","o","x","x","x","positive"
"b","x",NA,"o","o","o","b","b",NA,"negative"
"o","o","o","b","x","x","x","x",NA,"negative"
"o","o","o","x","x","b","x","o",NA,"negative"
"o","o","x","b","b","x","b","b","x","positive"
"o","b","x","o","x","b","x","b","b","positive"
"o","b",NA,"x","o","b","b","x",NA,"negative"
"b","x",NA,"x","o","b","o","x",NA,"negative"
"o","b","b","o","x","x","o","x","b","negative"
"x","b",NA,"o","o","o","b","x","x","negative"
"x","x","o","x","b","x","o","o",NA,"negative"
"o","x","b","o","o","b","x","x","x","positive"
"x","x",NA,"o","o","b","b","x",NA,"positive"
"b","o","o","b","b","b","x","x","x","positive"
"b","o","x","b","x","o","x","b","b","positive"
"x","o",NA,"o","o","x","x","x","o","negative"
"x","x",NA,"o","x","o","b","b","x","positive"
"x","o",NA,"x","o","b","x","x","b","positive"
"x","b",NA,"o","x","x","b","o","x","positive"
"x","b",NA,"o","o","o","o","x","x","negative"
"b","b",NA,"x","x","x","o","o",NA,"positive"
"o","o","x","b","x","b","x","b",NA,"positive"
"o","o","o","b","x","b","x","b",NA,"negative"
"b","o","o","x","x","x","x","o","b","positive"
"x","x",NA,"o","o","o","x","b",NA,"negative"
"x","x",NA,"o","x","b","b","o","x","positive"
"x","b","o","x","x","b","x","o",NA,"positive"
"b","x",NA,"b","x","b","o","o",NA,"negative"
"b","o",NA,"b","o","x","x","x",NA,"positive"
"o","b","x","x","o","x","o","b",NA,"positive"
"x","b",NA,"b","x","o","b","x","o","negative"
"x","o",NA,"x","o","x","b","o","b","negative"
"x","x","x","o","o","x","o","x","o","positive"
"o","b","x","b","o","x","x","b",NA,"negative"
"x","x","o","o","o","o","x","b",NA,"negative"
"b","o","x","o","x","x","x","b","o","positive"
"o","x",NA,"o","x","x","b","x","b","positive"
"b","o",NA,"x","o","b","x","o",NA,"negative"
"x","x",NA,"o","o","x","o","o",NA,"positive"
"b","b","x","o","x","b","x","b","o","positive"
"b","x",NA,"b","x","o","o","x",NA,"positive"
"x","x","x","o","o","b","x","b","o","positive"
"o","b","b","x","x","x","o","o",NA,"positive"
"x","b",NA,"o","x","o","x","b",NA,"positive"
"x","b",NA,"x","o","x","x","o","o","positive"
"x","x","x","o","o","x","x","o",NA,"positive"
"x","x",NA,"b","b","o","o","o","x","positive"
"o","x",NA,"o","o","x","x","b",NA,"negative"
"x","x",NA,"b","o","x","o","o",NA,"positive"
"o","x","x","b","o","x","b","o",NA,"positive"
"o","x","x","o","x","o","x","o","x","positive"
"x","x",NA,"x","o","o","o","x","o","positive"
"x","o","x","b","x","o","x","b","o","positive"
"o","x","x","o","b","x","b","o",NA,"positive"
"b","o","b","o","x","o","x","x","x","positive"
"x","o",NA,"b","x","b","x","o","o","positive"
"x","b",NA,"x","x","b","o","o","x","positive"
"x","o","b","o","x","b","x","o","x","positive"
"x","b","x","o","b","x","o","o","x","positive"
"x","o",NA,"b","b","o","x","x","x","positive"
"x","o","o","b","x","x","o","b","x","positive"
"o","b","x","o","x","b","x","o","x","positive"
"o","b","x","o","x","b","x","x",NA,"positive"
"x","o",NA,"o","x","o","x","x","x","positive"
"x","o","x","x","o","b","x","b","o","positive"
"o","x",NA,"x","o","o","o","x",NA,"negative"
"x","b",NA,"o","o","x","o","x",NA,"negative"
"o","x","b","b","x","b","o","x","b","positive"
"x","o","b","x","o","x","x","b",NA,"positive"
"b","x","o","x","o","o","o","x",NA,"negative"
"o","o",NA,"b","x","x","x","b","b","negative"
"o","b","x","x","o","b","x","b",NA,"negative"
"o","x",NA,"x","o","o","x","o",NA,"negative"
"b","o","o","b","x","o","x","x",NA,"positive"
"x","x","o","x","b","o","b","b",NA,"negative"
"b","o",NA,"o","o","x","b","x","x","positive"
"o","o","x","b","o","x","b","x",NA,"positive"
"b","o",NA,"x","o","x","x","o",NA,"negative"
"x","o",NA,"x","x","o","b","x",NA,"negative"
"x","x",NA,"b","o","b","b","b",NA,"positive"
"o","b","o","x","o","b","x","x",NA,"positive"
"x","o",NA,"x","b","b","x","b","b","positive"
"o","o",NA,"x","x","o","x","b","x","negative"
"x","b","o","o","b","o","x","x",NA,"positive"
"o","o",NA,"o","x","b","x","b","x","positive"
"o","b",NA,"o","o","b","x","x","x","positive"
"x","o",NA,"o","b","o","x","x",NA,"positive"
"x","b",NA,"x","b","o","x","o",NA,"positive"
"x","b","b","x","o","o","x","o","x","positive"
"x","o",NA,"x","b","o","x","o","b","positive"
"o","o",NA,"x","b","o","x","x","x","positive"
"x","o","b","x","o","b","x","x","o","positive"
"o","x",NA,"o","x","b","o","b","b","negative"
"o","o",NA,"x","x","b","b","b","x","negative"
"b","o",NA,"x","o","b","x","o","b","negative"
"o","o","x","o","o","x","x","x",NA,"positive"
"b","x",NA,"x","x","o","o","x",NA,"positive"
"o","b","x","x","b","x","o","o",NA,"positive"
"b","x","o","b","b","o","x","x","o","negative"
"b","o",NA,"o","x","x","b","o","x","positive"
"x","x","b","b","x","o","o","x",NA,"positive"
"x","x",NA,"x","o","o","o","x",NA,"negative"
"x","o","x","o","o","b","x","o","x","negative"
"x","o","o","x","b","x","x","o",NA,"positive"
"x","x",NA,"x","o","o","b","o","b","positive"
"b","x","x","o","x","o","b","x",NA,"positive"
"o","o","x","b","x","x","x","o",NA,"positive"
"b","x","x","o","x","o","o","x",NA,"positive"
"o","x",NA,"b","x","x","o","x",NA,"positive"
"x","o",NA,"b","o","x","b","o","x","negative"
"b","o",NA,"o","x","b","x","x",NA,"positive"
"b","x","b","o","o","o","x","b",NA,"negative"
"o","x","x","o","b","o","o","x",NA,"negative"
"x","x",NA,"b","o","b","o","b",NA,"positive"
"b","x","o","x","b","o","x","b","o","negative"
"o","x",NA,"o","x","x","o","o","x","negative"
"b","b","o","b","x","o","x","x","o","negative"
"x","o","o","x","o","b","o","x","x","negative"
"o","x","o","x","x","o","b","x",NA,"positive"
"b","b",NA,"o","o","x","o","x","x","positive"
"o","b",NA,"b","o","b","x","x","o","negative"
"o","x","o","x","o","o","x","x",NA,"positive"
"x","x","x","b","o","o","x","b","o","positive"
"x","x","b","o","o","o","x","o",NA,"negative"
"o","o","o","x","o","x","x","b",NA,"negative"
"x","o","o","b","x","o","b","x",NA,"positive"
"b","o","x","x","x","x","o","b",NA,"positive"
"x","b","b","x","b","o","x","o","b","positive"
"o","o",NA,"x","b","x","x","x",NA,"negative"
"b","b",NA,"x","x","b","o","o","o","negative"
"x","b","o","b","x","b","b","o",NA,"positive"
"x","o","b","x","b","o","x","b","b","positive"
"b","o","o","x","x","x","o","b",NA,"positive"
"o","x","x","o","o","x","b","x",NA,"negative"
"b","x","b","x","x","b","o","o","o","negative"
"o","x","x","x","x","o","o","o",NA,"negative"
"x","o","o","x","o","x","b","o",NA,"negative"
"x","o",NA,"o","x","b","x","o","b","positive"
"x","o","x","x","b","x","o","o",NA,"negative"
"b","x",NA,"o","x","b","o","x","b","positive"
"x","b","x","o","x","x","o","o",NA,"negative"
"o","o","o","x","b","b","b","x",NA,"negative"
"o","b",NA,"x","x","x","b","x","o","positive"
"o","x","o","b","b","o","x","x","x","positive"
"x","x","x","b","o","b","o","x","o","positive"
"x","x",NA,"x","o","b","o","b",NA,"positive"
"x","o",NA,"o","x","x","b","o",NA,"positive"
"x","b",NA,"o","x","o","x","o",NA,"positive"
"x","x","x","b","b","o","o","b","b","positive"
"o","x","x","o","x","o","x","b",NA,"positive"
"o","o","x","x","x","x","b","o","b","positive"
"o","o",NA,"x","o","x","x","x",NA,"negative"
"o","o","x","o","b","x","b","x","x","positive"
"x","o","x","o","o","o","x","b",NA,"negative"
"o","x","b","o","o","x","o","x","x","negative"
"b","o","o","o","b","x","x","x",NA,"positive"
"x","x","x","b","o","o","b","x",NA,"positive"
"x","x","x","b","b","o","o","x",NA,"positive"
"o","o",NA,"x","o","x","b","x","x","negative"
"o","o",NA,"x","x","x","o","o","x","positive"
"b","b","x","b","x","o","x","o","b","positive"
"x","b",NA,"b","x","o","x","o","x","positive"
"o","b","x","o","x","o","x","x",NA,"positive"
"x","o",NA,"x","b","b","x","o","b","positive"
"x","o","x","x","b","o","x","b",NA,"positive"
"o","x","b","b","x","o","b","x",NA,"positive"
"o","o","x","o","x","o","x","x",NA,"positive"
"b","o",NA,"x","o","b","x","x","x","positive"
"o","b","o","b","o","x","x","x","x","positive"
"x","x",NA,"b","o","b","o","x",NA,"negative"
"o","b","o","x","x","x","o","x","b","positive"
"o","x","b","b","x","o","x","x",NA,"positive"
"o","x","x","b","o","x","x","o",NA,"negative"
"b","x","o","b","o","o","x","x",NA,"positive"
"o","o",NA,"x","x","x","b","x","o","positive"
"o","b",NA,"x","o","o","x","x",NA,"negative"
"b","o",NA,"x","x","o","x","b",NA,"positive"
"o","o","x","b","x","b","x","o",NA,"positive"
"b","o",NA,"x","b","o","x","x",NA,"positive"
"o","x",NA,"o","b","x","o","x","o","negative"
"o","b","b","o","b","b","x","x",NA,"positive"
"x","o","x","x","o","x","o","x","o","negative"
"x","o","o","b","o","b","x","x",NA,"positive"
"o","o","x","x","x","b","x","b",NA,"positive"
"b","x","x","x","o","x","o","o",NA,"negative"
"o","b","o","x","o","x","x","x",NA,"negative"
"o","b","b","o","x","x","o","b",NA,"negative"
"b","b","x","o","x","o","x","b",NA,"positive"
"o","x","x","x","x","o","o","x",NA,"positive"
"x","x",NA,"b","b","b","o","b",NA,"positive"
"x","x","o","o","o","o","b","x","x","negative"
"x","o",NA,"x","x","o","o","x",NA,"positive"
"b","o",NA,"x","x","x","x","o",NA,"positive"
"x","x",NA,"o","b","b","x","o","o","positive"
"o","x",NA,"b","x","o","b","x",NA,"positive"
"x","x","x","o","b","o","x","b",NA,"positive"
"x","b","x","o","o","o","x","b","b","negative"
"o","b",NA,"o","b","x","o","x","b","negative"
"x","x","x","o","b","b","o","o",NA,"positive"
"b","x","o","x","x","x","b","o","o","positive"
"x","x","o","x","o","b","x","b","o","positive"
"o","o","o","b","x","x","b","x","b","negative"
"x","x",NA,"b","x","o","o","x",NA,"positive"
"b","x","x","o","x","b","o","x",NA,"positive"
"x","b",NA,"x","x","x","o","o",NA,"positive"
"x","x",NA,"x","o","o","o","b","b","positive"
"b","o","x","o","x","x","o","b","x","positive"
"x","b",NA,"b","b","x","o","o","o","negative"
"o","x","o","o","o","x","x","x","x","positive"
"x","o","x","o","x","x","o","x","o","negative"
"o","x",NA,"x","o","o","x","x","o","negative"
"x","b","b","x","o","o","x","x",NA,"positive"
"x","o","x","o","o","x","x","o",NA,"negative"
"x","x","o","o","o","x","x","x","o","negative"
"o","o",NA,"x","b","x","b","b",NA,"negative"
"x","b",NA,"o","x","b","x","o",NA,"positive"
"o","x","x","o","x","x","o","o",NA,"negative"
"o","x","o","o","x","x","x","o",NA,"negative"
"o","x","o","o","b","b","x","x",NA,"positive"
"x","x",NA,"b","b","o","b","b","o","positive"
"x","o",NA,"b","x","b","o","x","x","positive"
"o","x","o","x","x","o","o","x","x","positive"
"x","o","b","x","o","o","x","b",NA,"positive"
"x","x","x","x","o","o","o","o",NA,"positive"
"x","x","b","o","x","o","o","x",NA,"positive"
"b","b",NA,"b","x","o","x","b","o","positive"
"o","b","x","x","x","x","o","b","o","positive"
"b","x",NA,"x","b","o","b","x","o","negative"
"o","x",NA,"b","o","b","x","x","o","negative"
"b","o",NA,"x","b","x","o","o","x","positive"
"x","o",NA,"x","o","x","x","x",NA,"positive"
"b","o","x","o","x","b","x","x","o","positive"
"x","x","x","b","o","b","b","o","b","positive"
"x","b",NA,"b","x","o","o","b",NA,"positive"
"b","o","x","b","x","x","o","o",NA,"positive"
"o","o",NA,"b","x","b","x","x","b","negative"
"o","o",NA,"x","b","x","b","x","b","negative"
"o","x",NA,"b","o","x","o","x","o","negative"
"o","x",NA,"o","o","o","x","x",NA,"negative"
"x","x",NA,"b","o","o","b","b","b","positive"
"o","o","b","b","b","b","x","x",NA,"positive"
"b","o","x","x","o","o","x","o",NA,"negative"
"x","o",NA,"x","x","o","b","b","x","positive"
"x","o",NA,"o","x","x","x","x","o","negative"
"o","x",NA,"o","x","b","x","b",NA,"positive"
"o","o",NA,"b","x","b","b","x","x","negative"
"b","o",NA,"o","x","b","x","o",NA,"positive"
"x","o",NA,"x","x","o","o","o","x","positive"
"o","o",NA,"b","x","o","x","x","x","positive"
"b","b","o","o","b","b","x","x","x","positive"
"o","x","x","b","x","x","o","o",NA,"negative"
"o","b",NA,"b","b","x","b","o","x","positive"
"b","b",NA,"o","x","o","x","x","x","positive"
"x","o",NA,"b","o","b","x","o",NA,"negative"
"b","b",NA,"x","x","x","b","o","b","positive"
"x","x",NA,"b","o","o","x","o",NA,"positive"
"o","o","x","b","b","o","x","x","x","positive"
"b","o","o","x","x","x","x","b",NA,"positive"
"x","x",NA,"o","b","x","b","o","o","positive"
"x","b","b","o","o","o","x","b","x","negative"
"x","b",NA,"x","x","o","x","o",NA,"positive"
"b","o","o","x","x","x","o","x","b","positive"
"x","x",NA,"b","o","o","o","b",NA,"positive"
"x","x","o","o","x","o","x","o",NA,"positive"
"x","b",NA,"o","x","b","o","o",NA,"positive"
"o","x",NA,"x","o","x","b","x","o","negative"
"b","b","o","b","o","b","x","x","x","positive"
"b","b",NA,"o","o","x","x","x","x","positive"
"o","b","x","x","o","x","b","b",NA,"negative"
"x","x","x","o","o","b","o","x","b","positive"
"x","b","o","x","x","x","o","b","o","positive"
"o","x",NA,"o","x","b","b","x","o","positive"
"x","x",NA,"x","o","x","o","o",NA,"negative"
"o","o",NA,"b","b","x","o","x","x","positive"
"x","b","o","o","o","b","x","x",NA,"positive"
"x","o",NA,"b","x","x","o","o",NA,"positive"
"b","b","o","x","x","x","o","o",NA,"positive"
"o","x","x","x","o","x","o","o",NA,"positive"
"o","x","b","o","o","x","x","x","o","negative"
"o","b","x","b","o","x","x","o","x","positive"
"o","x","b","o","x","x","o","b",NA,"negative"
"o","b","x","b","x","o","x","x","o","positive"
"o","b",NA,"x","o","x","x","o","o","negative"
"b","o","x","b","o","o","x","x","x","positive"
"x","x",NA,"o","o","o","b","x",NA,"negative"
"x","o",NA,"b","b","x","o","o",NA,"positive"
"b","o",NA,"x","x","x","b","o","x","positive"
"o","x","x","o","x","o","o","b","x","negative"
"o","x","x","x","o","x","b","o",NA,"negative"
"b","x","x","o","o","o","x","o",NA,"negative"
"o","o",NA,"b","x","x","x","o","x","negative"
"b","b","o","x","x","x","x","o",NA,"positive"
"x","x",NA,"x","o","b","o","x","o","negative"
"x","x","o","b","o","o","o","x","x","negative"
"x","b","x","o","x","o","o","b",NA,"positive"
"x","o",NA,"o","x","b","x","b",NA,"positive"
"x","x","x","b","x","o","o","o",NA,"positive"
"x","x",NA,"b","x","x","o","o","o","negative"
"b","b","o","x","x","o","x","b",NA,"negative"
"b","b","b","o","b","o","x","x",NA,"positive"
"x","x",NA,"x","b","o","x","o","o","positive"
"x","o","b","x","x","o","o","b","x","positive"
"x","x",NA,"o","o","o","b","b",NA,"negative"
"o","x","b","b","x","b","b","x","o","positive"
"b","x",NA,"b","o","x","o","o","x","positive"
"o","o",NA,"x","x","b","o","x","x","negative"
"o","b","x","b","o","x","b","x",NA,"negative"
"b","x",NA,"o","o","o","b","x","x","negative"
"b","x","o","o","b","o","x","x","x","positive"
"x","o",NA,"b","x","o","x","x",NA,"negative"
"b","b","o","x","o","b","o","x",NA,"negative"
"o","x","o","b","x","b","x","x",NA,"positive"
"o","b",NA,"o","x","o","x","x",NA,"positive"
"o","x",NA,"o","x","b","b","x",NA,"positive"
"x","b",NA,"o","o","o","x","o","x","negative"
"b","x",NA,"x","x","x","o","o",NA,"positive"
"x","o",NA,"o","b","x","o","b","x","positive"
"x","o","x","o","o","x","b","b",NA,"positive"
"b","o",NA,"b","x","o","x","o","x","positive"
"x","x",NA,"b","o","b","o","o","x","positive"
"o","x","x","o","o","x","b","b",NA,"positive"
"x","x",NA,"o","x","o","x","o",NA,"positive"
"b","o","x","o","b","o","x","x","x","positive"
"b","x",NA,"b","x","x","o","x","o","positive"
"x","b",NA,"x","o","b","x","b",NA,"positive"
"x","x",NA,"b","x","b","o","o","o","negative"
"x","o",NA,"x","x","x","b","o","o","positive"
"b","o","b","b","o","b","x","x","x","positive"
"b","o",NA,"x","x","x","b","b","b","positive"
"o","o","x","x","x","x","o","b",NA,"positive"
"b","x","o","x","o","x","o","b",NA,"negative"
"o","b","x","b","b","x","o","b","x","positive"
"x","o",NA,"o","x","x","x","o","x","positive"
"x","b","b","x","x","o","o","o",NA,"positive"
"x","x",NA,"x","x","o","o","o","x","positive"
"b","b",NA,"o","o","o","x","b","x","negative"
"x","o",NA,"b","o","o","x","o","x","negative"
"x","x",NA,"o","x","b","o","o",NA,"positive"
"x","b","x","x","b","o","x","o","o","positive"
"o","b","b","x","x","x","b","o",NA,"positive"
"x","x","b","x","o","o","x","o",NA,"positive"
