"landmass","zone","area","population","language","bar","stripes","color","red","grean","blue","gold","white","black","orange","mainhue","circle","cross","saltire","quarter","sunstars","crescents","triangle","icon","animate","text","topleft","topright","religions"
2,4,NA,28,NA,0,3,NA,1,NA,1,NA,0,NA,NA,"gold",0,0,0,NA,0,NA,0,0,0,0,"gold","red",0
3,1,249,NA,4,0,3,NA,1,0,NA,NA,0,NA,0,"black",0,0,0,NA,0,NA,0,NA,0,0,"black","gold",1
3,1,31,NA,6,3,0,3,1,NA,NA,1,0,NA,0,"gold",0,0,0,0,0,NA,0,0,0,NA,"black","red",0
3,NA,0,0,6,2,0,4,1,0,NA,NA,1,NA,NA,"gold",0,0,0,NA,0,0,0,1,0,0,"gold","white",0
4,NA,NA,NA,10,0,3,NA,1,NA,NA,NA,0,1,0,"red",0,0,0,NA,1,0,0,NA,0,NA,"black","green",5
5,NA,98,2,NA,0,3,NA,1,1,0,0,1,1,0,"black",0,0,0,0,1,0,1,0,0,0,"black","green",2
1,NA,0,NA,NA,0,0,NA,0,0,1,NA,1,1,NA,"blue",0,0,0,0,0,NA,1,0,0,0,"blue","blue",1
1,4,0,NA,1,0,0,NA,1,NA,1,NA,1,0,1,"blue",0,1,1,1,0,NA,0,NA,1,NA,"white","blue",1
5,NA,NA,3,7,0,2,2,1,0,NA,NA,1,0,0,"white",0,0,0,NA,5,NA,0,NA,0,NA,"red","white",3
1,4,NA,0,NA,0,1,NA,1,0,NA,NA,1,1,0,"red",0,0,0,NA,1,NA,1,NA,0,0,"black","red",1
5,NA,NA,NA,10,0,14,4,1,0,NA,1,1,0,0,"red",0,0,0,1,1,1,0,0,0,NA,"blue","white",2
1,4,28,6,3,2,0,2,1,0,0,NA,0,NA,0,"black",0,0,0,NA,0,0,0,NA,0,NA,"black","red",0
5,1,NA,NA,NA,0,0,6,1,1,NA,NA,1,0,1,"blue",1,1,1,NA,0,NA,0,1,1,NA,"white","blue",3
4,NA,NA,NA,6,0,3,5,1,1,1,NA,1,NA,NA,"orange",0,1,1,0,0,0,0,NA,0,0,"orange","blue",1
1,NA,NA,NA,2,0,0,3,1,NA,NA,0,1,0,0,"blue",0,1,0,0,0,NA,0,0,0,0,"blue","blue",0
5,NA,288,2,8,0,3,4,1,0,1,NA,1,1,NA,"red",0,0,0,0,1,NA,1,NA,0,0,"red","black",2
4,1,623,2,10,1,0,5,1,1,NA,NA,1,NA,NA,"gold",0,0,0,0,1,NA,0,NA,0,NA,"blue","gold",5
2,3,NA,NA,NA,0,0,NA,0,1,1,NA,1,NA,NA,"green",1,0,0,NA,22,0,0,0,0,1,"green","green",0
3,NA,NA,0,NA,2,0,NA,1,NA,0,0,1,NA,0,"red",0,1,0,NA,0,NA,0,1,0,0,"white","red",0
5,NA,NA,NA,10,0,0,NA,1,0,0,NA,0,NA,0,"red",0,0,0,0,1,NA,0,NA,0,NA,"red","red",6
3,NA,256,NA,6,0,3,NA,1,NA,NA,NA,1,NA,0,"red",0,0,0,0,1,0,0,NA,0,0,"blue","red",6
3,NA,92,NA,6,0,0,NA,1,1,NA,1,1,0,0,"red",1,0,0,NA,0,0,0,NA,0,0,"green","red",0
6,NA,NA,NA,NA,0,0,NA,0,NA,NA,0,1,NA,NA,"blue",0,0,0,0,4,NA,0,NA,0,NA,"blue","blue",1
5,NA,NA,NA,NA,0,0,2,1,NA,NA,1,0,NA,0,"red",0,0,0,NA,0,NA,0,1,0,NA,"red","red",3
2,3,178,3,NA,0,9,NA,0,NA,NA,1,1,NA,NA,"white",0,0,0,NA,1,0,0,0,0,NA,"white","white",0
2,4,NA,NA,NA,0,0,NA,1,0,NA,NA,1,NA,NA,"red",0,0,0,NA,2,0,0,0,0,NA,"white","white",0
4,4,246,6,NA,3,0,NA,1,1,NA,1,0,0,0,"gold",0,0,0,NA,0,0,0,0,0,0,"red","green",2
1,NA,NA,NA,1,5,0,4,0,NA,NA,NA,1,NA,NA,"green",0,0,0,0,0,NA,0,NA,1,1,"blue","green",1
3,NA,3,0,NA,0,3,3,1,NA,1,NA,1,0,NA,"red",0,0,0,0,0,0,0,NA,0,0,"red","blue",0
4,NA,17,NA,10,0,5,NA,1,0,NA,1,1,1,1,"blue",0,0,0,0,0,0,0,NA,0,0,"blue","blue",1
3,1,9,1,NA,0,0,3,0,1,0,1,1,NA,NA,"white",0,0,0,0,0,NA,0,NA,1,0,"white","white",1
4,NA,2,NA,NA,0,0,NA,0,NA,NA,0,1,NA,NA,"green",0,0,0,NA,4,NA,0,0,0,0,"green","green",2
1,NA,0,0,1,3,0,NA,0,NA,NA,1,0,1,0,"blue",0,0,0,NA,0,NA,0,1,0,NA,"blue","blue",1
5,1,NA,NA,9,0,0,2,1,0,0,NA,1,0,NA,"white",1,0,0,NA,1,0,0,NA,0,NA,"white","white",7
3,NA,324,4,NA,0,0,NA,1,0,1,0,1,0,0,"red",0,1,0,NA,0,NA,0,0,0,NA,"red","red",1
6,NA,1904,NA,10,0,2,NA,1,0,NA,0,1,NA,NA,"red",0,0,0,NA,0,0,0,NA,0,NA,"red","white",2
4,NA,NA,NA,10,3,0,2,0,NA,0,NA,1,0,0,"green",0,0,0,0,0,NA,0,NA,0,NA,"green","green",2
5,NA,1648,NA,6,0,3,3,1,NA,0,NA,1,NA,NA,"red",0,0,0,NA,0,0,0,1,0,1,"green","red",2
1,4,11,2,NA,0,0,3,0,1,0,1,0,1,NA,"green",0,0,1,NA,0,NA,1,0,0,NA,"gold","gold",1
6,2,0,0,NA,0,3,3,0,0,1,1,1,NA,0,"blue",0,0,0,NA,1,0,0,NA,0,NA,"blue","blue",1
4,1,NA,5,NA,0,0,NA,0,0,1,NA,1,0,NA,"blue",0,0,0,0,1,0,0,NA,0,NA,"blue","blue",2
5,NA,NA,9,8,0,0,NA,0,1,NA,0,1,NA,0,"green",0,0,0,0,0,NA,0,1,0,1,"green","green",2
4,NA,753,6,10,3,0,NA,1,1,0,NA,0,NA,NA,"green",0,0,0,0,0,0,0,0,1,0,"green","brown",5
4,2,NA,NA,NA,0,0,3,1,1,NA,1,0,0,NA,"red",0,0,0,0,1,NA,0,1,1,NA,"red","red",5
1,NA,NA,10,2,0,5,3,1,NA,NA,0,1,0,NA,"blue",0,0,0,0,1,0,1,NA,0,NA,"blue","blue",6
6,NA,NA,0,NA,0,0,NA,1,0,NA,0,1,0,NA,"red",0,0,0,NA,5,0,0,NA,0,0,"blue","red",1
2,NA,NA,0,3,3,0,NA,1,NA,1,0,1,NA,NA,"white",0,0,0,0,0,NA,0,NA,0,NA,"blue","red",0
5,1,236,3,NA,0,3,NA,1,0,NA,NA,1,0,NA,"red",1,0,0,NA,0,NA,0,NA,0,0,"red","red",6
4,2,783,NA,10,0,5,NA,1,NA,0,1,1,1,NA,"gold",0,0,0,NA,1,0,1,NA,0,NA,"green","gold",5
1,4,NA,NA,NA,0,5,3,1,NA,1,0,1,0,0,"blue",0,0,0,NA,0,NA,0,NA,0,NA,"blue","blue",0
1,4,0,NA,NA,0,0,6,1,NA,1,NA,1,NA,NA,"blue",0,1,1,1,0,0,0,NA,1,0,"white","blue",1
3,1,237,22,NA,3,0,NA,1,NA,1,1,1,0,1,"red",0,0,0,0,2,0,0,1,1,NA,"blue","red",6
6,NA,NA,0,NA,0,0,4,1,NA,NA,1,1,NA,NA,"gold",1,1,1,NA,5,0,0,0,0,0,"white","gold",1
2,4,215,1,NA,0,0,NA,1,NA,0,1,1,1,NA,"green",0,0,0,0,0,0,1,NA,0,NA,"black","green",4
5,1,NA,NA,10,0,0,3,0,0,1,0,1,NA,1,"brown",0,0,0,NA,2,NA,0,0,0,0,"blue","blue",4
5,1,NA,18,7,0,0,NA,1,NA,NA,NA,1,NA,NA,"red",1,0,0,NA,1,NA,0,NA,0,0,"blue","red",3
4,2,26,5,NA,3,0,4,1,NA,NA,NA,0,1,0,"red",0,0,0,NA,0,0,0,0,0,NA,"red","green",5
4,NA,945,NA,NA,0,0,NA,0,NA,NA,1,0,1,0,"green",0,0,0,NA,0,NA,1,NA,0,NA,"green","blue",5
4,NA,NA,NA,1,0,0,7,1,1,1,1,1,0,NA,"blue",0,1,1,1,0,0,0,1,0,NA,"white","blue",1
4,NA,NA,7,3,0,2,NA,1,1,0,1,0,0,0,"red",0,0,0,NA,1,NA,0,0,0,0,"red","green",5
5,NA,NA,NA,NA,0,5,3,1,NA,NA,NA,1,NA,NA,"red",0,0,0,0,0,0,0,0,0,NA,"red","red",3
4,1,2506,NA,NA,0,3,NA,1,1,NA,0,1,NA,NA,"red",0,0,0,NA,0,0,1,0,0,0,"red","black",2
4,NA,NA,NA,NA,0,0,NA,1,1,0,0,1,NA,0,"red",1,0,1,NA,3,0,0,0,0,0,"white","white",5
4,NA,NA,7,NA,3,0,3,1,NA,0,0,1,0,NA,"white",0,0,0,0,0,NA,0,0,0,NA,"red","green",5
4,2,NA,1,NA,0,4,NA,1,1,NA,1,0,NA,NA,"red",0,0,0,0,0,NA,0,NA,0,NA,"red","green",4
3,4,NA,NA,NA,0,0,3,1,0,NA,0,1,0,NA,"blue",0,1,0,0,0,NA,0,NA,0,0,"blue","blue",1
1,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,1,1,NA,"red",1,1,1,NA,0,0,0,1,1,NA,"white","red",1
6,NA,0,0,NA,0,0,5,1,NA,NA,NA,1,NA,NA,"blue",0,0,0,NA,0,0,1,1,1,NA,"blue","red",1
6,2,30,0,NA,0,0,4,0,1,1,1,1,0,0,"green",0,0,0,NA,5,NA,1,0,0,NA,"blue","green",1
1,4,0,NA,NA,0,0,NA,1,1,1,1,1,NA,NA,"white",0,0,0,0,0,0,0,1,1,NA,"white","white",1
3,4,NA,0,1,0,1,3,1,0,NA,1,1,NA,0,"white",0,0,0,0,0,0,0,1,0,0,"white","red",1
1,NA,0,0,1,0,0,6,1,1,1,NA,1,NA,1,"blue",1,1,1,1,4,NA,0,NA,1,1,"white","blue",1
6,2,NA,NA,1,0,0,3,1,0,1,0,1,NA,0,"blue",0,1,1,1,6,NA,0,NA,0,0,"white","blue",1
4,4,1240,NA,NA,3,0,3,1,NA,NA,NA,0,0,0,"gold",0,0,0,NA,0,NA,0,NA,0,NA,"green","red",2
1,NA,109,NA,2,3,0,NA,0,0,1,0,1,0,NA,"blue",0,0,0,NA,0,0,0,0,0,NA,"blue","blue",0
1,4,9976,NA,NA,2,0,2,1,NA,0,NA,1,0,NA,"red",0,0,0,0,0,NA,0,0,1,0,"red","red",1
5,NA,84,NA,8,1,3,4,1,NA,NA,NA,1,1,NA,"green",0,0,0,NA,0,0,0,0,0,NA,"red","black",2
1,NA,NA,NA,1,0,13,NA,1,NA,1,0,1,0,NA,"white",0,0,0,NA,50,NA,0,NA,0,0,"blue","red",1
6,NA,463,3,NA,0,0,4,1,0,0,NA,1,NA,0,"black",0,0,0,0,5,0,1,0,1,NA,"red","black",5
4,NA,NA,1,10,2,0,NA,1,1,NA,NA,1,0,NA,"blue",0,0,0,NA,0,0,0,NA,0,0,"green","blue",5
3,1,0,NA,NA,3,0,NA,1,NA,1,1,0,0,NA,"gold",0,0,0,0,0,0,0,NA,0,NA,"blue","red",0
2,3,NA,NA,NA,0,0,NA,1,NA,NA,1,1,0,0,"blue",1,1,1,NA,0,0,0,NA,1,NA,"white","blue",1
3,1,301,NA,NA,3,0,3,1,NA,NA,0,1,0,NA,"white",0,0,0,NA,0,NA,0,0,0,NA,"green","red",0
3,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,0,NA,0,"red",0,0,0,0,1,NA,0,0,1,NA,"red","red",6
1,NA,NA,0,1,0,0,NA,1,NA,NA,NA,0,NA,0,"gold",1,0,0,0,7,NA,1,0,1,0,"red","red",1
4,4,NA,NA,1,0,3,NA,1,NA,NA,NA,0,NA,0,"red",0,0,0,NA,1,0,0,NA,0,0,"red","green",5
4,1,236,13,10,0,6,5,1,NA,0,1,1,NA,0,"gold",1,0,0,0,0,0,0,NA,1,NA,"black","red",5
4,1,0,0,NA,0,3,4,1,NA,0,NA,0,NA,0,"green",0,0,0,0,2,NA,1,0,0,0,"green","green",0
4,4,1031,NA,NA,0,0,2,0,NA,0,NA,0,0,0,"green",0,0,0,0,1,1,0,0,0,NA,"green","green",2
5,1,804,NA,6,1,0,NA,0,1,NA,0,1,NA,NA,"green",0,0,0,0,1,1,0,NA,0,0,"white","green",2
3,1,0,NA,NA,0,2,2,0,0,NA,0,1,0,0,"white",0,0,0,0,0,0,0,NA,0,0,"white","blue",0
3,NA,337,NA,NA,0,0,2,0,0,1,NA,1,0,NA,"white",0,1,0,0,0,NA,0,0,0,0,"white","white",1
2,3,NA,3,2,0,3,6,1,NA,NA,1,1,NA,0,"red",1,0,0,NA,1,NA,0,1,1,1,"red","blue",0
2,3,NA,11,NA,0,2,3,1,0,1,NA,1,0,NA,"red",0,0,0,1,1,NA,0,NA,0,0,"blue","red",0
1,NA,23,0,1,0,2,NA,1,1,NA,1,1,NA,1,"blue",1,0,0,0,0,NA,0,1,1,1,"red","red",1
4,2,NA,8,NA,0,7,5,1,NA,0,1,1,1,NA,"green",0,0,0,NA,1,0,1,NA,1,0,"green","green",5
5,NA,11,0,NA,0,0,NA,0,NA,NA,0,1,NA,NA,"brown",0,0,0,0,0,0,0,0,0,0,"white","brown",2
5,1,781,NA,9,0,0,NA,1,NA,NA,0,1,0,NA,"red",0,0,0,0,1,1,0,0,0,0,"red","red",2
4,NA,NA,NA,NA,0,3,NA,1,NA,1,NA,1,NA,0,"green",0,0,0,0,0,NA,1,NA,0,0,"green","red",5
3,1,NA,NA,NA,0,3,NA,1,1,0,0,1,0,NA,"red",0,0,0,NA,0,NA,0,NA,0,NA,"red","green",6
4,1,164,NA,8,0,0,2,1,NA,0,0,1,0,0,"red",1,0,0,0,1,NA,0,NA,0,NA,"red","red",2
5,1,195,NA,NA,0,3,4,1,1,0,0,1,NA,0,"red",0,0,0,NA,1,0,0,0,0,NA,"red","black",2
6,NA,4,NA,3,0,3,NA,1,0,1,NA,1,NA,0,"red",1,0,0,0,1,NA,0,NA,0,NA,"red","red",0
6,3,NA,NA,1,0,0,4,1,NA,NA,NA,1,0,NA,"blue",1,1,1,1,15,NA,0,NA,0,0,"white","blue",1
5,NA,NA,NA,NA,0,2,4,1,NA,NA,NA,1,NA,NA,"red",0,0,0,NA,0,NA,0,0,1,NA,"red","red",2
1,NA,9,NA,2,0,5,NA,1,0,1,0,1,NA,0,"red",0,0,0,NA,1,0,1,NA,0,NA,"red","red",0
6,2,NA,NA,NA,0,0,5,1,NA,NA,NA,1,0,NA,"blue",0,1,1,NA,9,NA,0,NA,0,NA,"white","blue",1
4,NA,113,NA,NA,0,0,2,1,1,0,NA,0,0,0,"green",0,0,0,0,1,0,0,0,0,NA,"green","green",5
4,NA,NA,NA,3,3,0,3,1,1,NA,NA,0,NA,0,"green",0,0,0,NA,1,NA,0,0,0,0,"green","red",2
5,NA,212,1,8,0,2,3,1,NA,NA,0,1,0,NA,"red",0,0,0,0,0,NA,0,NA,0,0,"red","green",2
5,1,NA,NA,NA,0,0,NA,1,0,NA,NA,0,NA,0,"red",0,0,0,NA,1,0,0,NA,0,0,"red","red",6
5,NA,NA,15,NA,2,0,4,0,1,0,1,0,0,1,"gold",0,0,0,NA,0,0,0,NA,1,0,"gold","gold",3
