"F1","F2","F3","F4","F5","F6","F7","F8","class"
"F",0.44,NA,0.1,0.451,0.188,0.087,0.13,"B"
"M",NA,0.305,0.1,0.325,NA,0.0505,0.091,"A"
"M",0.625,NA,0.175,1.065,NA,0.259,0.285,"B"
"M",NA,NA,0.17,1.0265,0.435,0.2335,0.3035,"B"
"F",NA,NA,0.185,1.3405,NA,0.293,0.4375,"C"
"F",NA,0.485,0.16,1.201,NA,0.2875,NA,"B"
"I",NA,0.385,0.125,0.585,NA,0.1235,NA,"A"
"M",NA,NA,0.165,1.2415,NA,0.2775,NA,"C"
"M",NA,NA,0.095,0.514,NA,0.101,0.15,"C"
"M",NA,0.395,0.125,0.8115,NA,0.166,NA,"A"
"I",0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,"A"
"F",NA,0.445,0.18,0.903,0.3575,0.2045,0.295,"B"
"F",0.565,0.45,0.195,1.0035,NA,0.2505,NA,"C"
"I",0.665,NA,0.17,1.2975,NA,0.291,0.3595,"B"
"M",0.63,NA,0.155,1.278,NA,0.275,0.31,"A"
"F",0.545,0.4,0.14,0.778,0.368,0.215,NA,"B"
"I",0.475,0.36,0.135,0.4355,0.196,0.0925,NA,"A"
"M",0.34,NA,0.09,0.2065,0.0725,0.043,0.07,"B"
"M",0.725,0.57,0.19,2.3305,NA,0.541,NA,"B"
"M",NA,0.515,0.16,1.2075,NA,0.282,NA,"C"
"I",NA,0.39,0.125,0.5705,0.238,0.1265,0.185,"A"
"I",NA,0.145,0.04,0.038,0.0165,0.0065,NA,"A"
"I",0.525,NA,0.14,0.601,NA,0.1285,0.1835,"B"
"M",NA,0.48,0.165,1.0725,NA,0.235,NA,"B"
"M",NA,0.47,0.14,0.8375,NA,0.1735,0.24,"C"
"M",NA,NA,0.18,0.889,NA,0.204,0.25,"C"
"I",NA,NA,0.14,0.7325,0.2415,0.144,NA,"C"
"F",0.585,0.42,0.155,1.034,NA,0.2225,NA,"C"
"M",NA,NA,0.175,1.011,0.3835,0.2065,0.37,"C"
"I",0.255,NA,0.055,0.0725,NA,0.017,NA,"A"
"I",0.325,0.25,0.075,0.1585,NA,0.0305,NA,"A"
"F",0.68,0.55,0.175,1.473,0.713,0.282,NA,"C"
"F",0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,"C"
"I",NA,0.445,0.155,0.8735,0.3005,0.209,0.275,"C"
"F",NA,NA,0.125,0.588,NA,0.1715,0.155,"B"
"F",0.5,0.38,0.14,0.6355,NA,0.143,NA,"A"
"I",0.28,0.21,0.065,0.111,NA,0.0285,NA,"A"
"I",0.55,NA,0.15,0.936,NA,0.174,NA,"B"
"M",0.49,NA,0.14,0.707,0.2795,0.2185,0.18,"C"
"F",0.43,0.35,0.09,0.397,0.1575,0.089,0.12,"B"
"M",NA,NA,0.13,0.738,NA,0.17,NA,"B"
"F",NA,NA,0.195,1.4985,NA,0.375,0.425,"B"
"M",NA,NA,0.095,0.253,NA,0.0575,0.0925,"B"
"F",NA,NA,0.17,1.099,NA,0.2325,NA,"C"
"M",NA,0.545,0.185,1.7375,NA,0.3135,NA,"C"
"M",NA,0.39,0.135,0.617,NA,0.1345,0.1635,"A"
"F",NA,0.295,0.11,0.3005,NA,0.0575,NA,"A"
"F",0.65,NA,0.165,1.566,NA,0.3455,NA,"C"
"I",0.59,0.45,0.145,1.022,0.428,0.268,NA,"B"
"M",0.6,NA,0.16,1.012,NA,0.2015,NA,"B"
"M",0.445,NA,0.14,0.5905,NA,0.158,NA,"C"
"I",0.5,0.38,0.125,0.519,NA,0.1135,NA,"A"
"I",NA,0.355,0.12,0.5805,0.255,0.0915,0.184,"A"
"F",NA,0.425,0.125,0.964,NA,0.159,NA,"A"
"M",0.505,NA,0.15,0.6415,0.246,0.152,NA,"C"
"F",0.61,NA,0.185,1.1085,NA,0.3135,NA,"C"
"I",NA,0.28,0.09,0.2565,0.1255,0.0645,NA,"A"
"I",NA,0.35,0.11,0.3805,NA,0.0895,0.115,"A"
"I",NA,0.49,0.16,1.066,0.446,0.246,NA,"C"
"I",NA,NA,0.1,0.3335,NA,0.0715,NA,"A"
"F",0.55,0.47,0.15,0.897,0.377,0.184,0.29,"B"
"F",NA,0.575,0.22,2.012,NA,0.5265,NA,"C"
"M",NA,0.49,0.155,1.2525,NA,0.246,NA,"B"
"M",0.595,0.475,0.16,1.3175,0.408,0.234,NA,"C"
"I",NA,0.13,0.04,0.029,0.0125,0.0065,NA,"A"
"M",NA,0.325,0.08,0.413,NA,0.1015,NA,"A"
"M",NA,NA,0.175,1.446,0.6485,0.2705,0.45,"C"
"M",0.675,0.515,0.145,1.265,0.6025,0.299,NA,"B"
"M",NA,0.42,0.12,0.8115,0.392,0.1455,NA,"B"
"I",0.4,NA,0.1,0.2775,NA,0.0605,NA,"B"
"M",0.64,0.495,0.165,1.307,NA,0.292,NA,"C"
"I",NA,NA,0.095,0.172,NA,0.0255,NA,"A"
"I",NA,0.28,0.08,0.226,NA,0.047,0.065,"A"
"M",NA,NA,0.165,1.1045,NA,0.2425,NA,"C"
"M",0.3,0.24,0.09,0.161,0.0725,0.039,NA,"A"
"I",0.3,0.215,0.05,0.1185,NA,0.0225,0.042,"A"
"I",0.46,NA,0.105,0.3705,0.1575,0.077,0.114,"B"
"F",0.63,0.485,0.17,1.3205,NA,0.345,NA,"B"
"M",0.595,NA,0.155,1.2015,NA,0.3865,NA,"B"
"I",0.635,NA,0.165,1.489,NA,0.3445,NA,"C"
"M",NA,0.485,0.16,1.0145,NA,0.212,NA,"A"
"I",NA,0.475,0.17,1.0385,NA,0.241,NA,"C"
"M",0.525,0.405,0.16,0.792,NA,0.1455,NA,"C"
"M",0.43,NA,0.095,0.34,NA,0.085,NA,"C"
"M",NA,0.385,0.13,0.6435,0.3135,0.149,0.1515,"A"
"M",NA,NA,0.135,0.681,NA,0.142,NA,"B"
"F",NA,NA,0.145,0.651,NA,0.19,NA,"C"
"F",NA,NA,0.155,1.016,0.4935,0.1855,0.263,"B"
"M",0.485,NA,0.15,0.696,NA,0.1625,0.265,"C"
"F",0.56,0.46,0.18,0.97,NA,0.196,0.355,"C"
"M",NA,NA,0.18,0.9395,0.399,0.2,0.295,"C"
"I",0.285,NA,0.055,0.101,NA,0.017,NA,"A"
"M",NA,NA,0.175,1.254,0.5815,0.286,0.3185,"B"
"I",NA,NA,0.065,0.0985,NA,0.021,0.031,"A"
"M",NA,NA,0.11,0.359,0.173,0.0875,NA,"B"
"M",NA,NA,0.115,0.5795,0.295,0.1395,0.12,"A"
"F",NA,NA,0.11,0.353,0.1405,0.0985,NA,"A"
"F",NA,NA,0.13,0.7585,NA,0.197,0.205,"A"
"M",0.62,NA,0.185,1.325,0.6045,0.325,0.33,"C"
"M",0.675,0.525,0.175,1.402,NA,0.3205,0.465,"C"
"M",NA,NA,0.18,1.154,0.4405,0.2315,NA,"B"
"F",NA,0.515,0.2,1.494,NA,0.309,NA,"C"
"F",NA,0.535,0.16,1.41,0.592,0.3175,NA,"C"
"I",0.53,NA,0.13,0.6615,0.2945,0.1395,NA,"B"
"M",0.555,NA,0.125,0.599,NA,0.1465,NA,"A"
"F",0.67,NA,0.185,1.597,NA,0.35,NA,"C"
"F",NA,NA,0.165,1.148,0.444,0.214,0.37,"B"
"M",0.5,0.38,0.155,0.66,NA,0.1365,0.215,"C"
"M",NA,0.545,0.19,1.4245,0.6325,0.333,NA,"B"
"F",0.46,NA,0.115,0.4755,NA,0.105,NA,"A"
"I",0.56,NA,0.14,0.9175,NA,0.1975,0.26,"B"
"I",0.21,0.15,0.055,0.0465,0.017,0.012,NA,"A"
"M",NA,0.37,0.15,1.0615,0.494,0.223,NA,"B"
"M",NA,0.54,0.185,1.6195,NA,0.353,NA,"C"
"F",NA,0.435,0.14,0.6955,NA,0.129,NA,"A"
"F",0.54,0.42,0.13,0.7505,NA,0.1675,0.1845,"B"
"I",NA,NA,0.1,0.2295,NA,0.0465,NA,"A"
"I",NA,0.23,0.095,0.1385,NA,0.0365,0.037,"A"
"I",NA,0.325,0.1,0.3215,0.1535,0.0595,0.105,"B"
"F",0.58,NA,0.165,0.925,0.37,0.185,0.3005,"B"
"I",NA,0.355,0.115,0.5195,0.279,0.088,NA,"A"
"F",0.615,NA,0.165,1.1615,0.513,0.301,0.305,"B"
"I",NA,0.355,0.12,0.4915,0.1765,0.1125,NA,"B"
"M",NA,NA,0.18,1.4915,NA,0.343,NA,"B"
"M",0.64,0.485,0.15,1.098,0.5195,0.222,NA,"B"
"F",NA,0.525,0.21,1.644,NA,0.3395,0.4275,"B"
"I",0.6,0.48,0.17,0.9175,0.38,0.2225,NA,"A"
"F",0.66,0.52,0.2,1.676,NA,0.4805,NA,"C"
"F",0.655,NA,0.16,1.092,NA,0.2825,0.37,"C"
"M",0.635,NA,0.175,1.375,NA,0.2705,NA,"C"
"I",0.44,NA,0.12,0.487,0.1965,0.108,0.16,"C"
"F",NA,0.435,0.14,0.8585,0.3905,0.196,NA,"A"
"I",0.3,NA,0.085,0.117,NA,0.0175,NA,"A"
"F",NA,NA,0.155,1.0605,0.5135,0.2165,0.3,"C"
"I",NA,NA,0.145,0.7905,0.3485,0.1765,NA,"B"
"F",0.71,NA,0.15,1.3165,NA,0.2815,NA,"B"
"F",NA,NA,0.145,0.797,0.297,0.15,NA,"B"
"I",0.415,NA,0.11,0.3735,0.175,0.0755,NA,"A"
"M",0.495,NA,0.12,0.6605,0.2605,0.161,0.19,"C"
"M",NA,0.56,0.22,1.981,NA,0.3085,NA,"C"
"M",NA,0.4,0.125,0.6725,NA,0.12,NA,"A"
"I",0.33,0.245,0.065,0.1445,NA,0.032,NA,"A"
"M",NA,NA,0.155,0.886,0.3605,0.211,NA,"B"
"M",NA,NA,0.15,0.9465,NA,0.2605,NA,"B"
"I",0.49,NA,0.14,0.5425,NA,0.127,0.175,"C"
"I",0.36,0.27,0.09,0.232,NA,0.0435,0.056,"A"
"I",NA,NA,0.105,0.4535,NA,0.08,0.1465,"B"
"F",0.49,NA,0.15,0.7865,0.241,0.14,NA,"C"
"F",0.65,0.51,0.17,1.567,0.7245,0.349,0.391,"B"
"I",0.51,NA,0.15,0.625,0.3095,0.119,NA,"A"
"I",0.44,0.34,0.105,0.344,0.123,0.081,0.125,"A"
"I",NA,NA,0.07,0.2225,NA,0.0425,0.055,"A"
"M",NA,0.485,0.205,1.219,0.3875,0.2505,0.385,"C"
"F",NA,NA,0.19,1.437,NA,0.2655,0.41,"C"
"I",NA,0.315,0.1,0.3225,NA,0.0735,NA,"A"
"M",NA,NA,0.155,0.8035,0.409,0.144,NA,"A"
"M",NA,0.445,0.15,0.796,NA,0.184,NA,"A"
"F",0.37,NA,0.1,0.2225,NA,0.026,NA,"A"
"M",NA,0.44,0.145,0.85,NA,0.1685,0.23,"A"
"F",NA,NA,0.1,0.265,0.1075,0.06,NA,"C"
"I",0.34,NA,0.07,0.185,0.0625,0.0395,NA,"A"
"I",NA,NA,0.11,0.393,NA,0.0735,0.12,"A"
"I",NA,0.395,0.135,0.633,0.2985,0.1295,0.175,"B"
"F",0.535,0.46,0.145,0.7875,0.3395,0.2005,NA,"A"
"M",0.66,0.51,0.165,1.6375,NA,0.3545,NA,"C"
"F",0.575,NA,0.165,1.124,NA,0.1785,NA,"C"
"F",NA,0.415,0.2,1.358,0.567,0.318,0.403,"B"
"F",NA,0.43,0.16,0.811,NA,0.159,NA,"B"
"M",NA,NA,0.165,1.116,NA,0.2205,0.315,"C"
"M",0.63,NA,0.19,1.4985,NA,0.3075,NA,"C"
"M",NA,NA,0.11,0.2925,NA,0.0635,NA,"A"
"M",0.385,NA,0.09,0.2775,NA,0.0515,0.1,"B"
"F",0.47,NA,0.145,0.537,NA,0.1375,NA,"C"
"I",0.435,NA,0.125,0.4075,NA,0.074,0.165,"B"
"I",NA,NA,0.125,0.4725,0.1815,0.125,NA,"B"
"M",NA,NA,0.165,0.9195,0.3355,0.1985,NA,"C"
"M",NA,0.435,0.185,0.9815,NA,0.136,0.39,"C"
"M",0.625,0.485,0.16,1.2135,0.631,0.2235,NA,"B"
"F",0.645,0.5,0.17,1.1845,NA,0.274,0.355,"C"
"M",0.59,0.47,0.16,1.206,NA,0.2425,NA,"A"
"M",0.705,0.56,0.165,1.675,NA,0.4095,NA,"B"
"F",0.55,0.465,0.18,1.2125,NA,0.205,NA,"C"
"M",0.625,NA,0.185,1.2065,NA,0.29,0.286,"A"
"F",0.57,NA,0.155,0.872,NA,0.239,0.285,"C"
"F",NA,0.35,0.115,0.44,0.19,0.1025,0.13,"A"
"I",0.5,NA,0.12,0.439,NA,0.1055,0.1305,"A"
"I",0.415,0.31,0.11,0.2965,NA,0.057,0.0995,"B"
"I",NA,0.445,0.125,0.7095,0.303,0.1405,0.235,"B"
"M",NA,NA,0.15,0.662,0.2815,0.137,0.22,"C"
"F",0.63,NA,0.15,1.172,NA,0.254,NA,"C"
"F",0.545,NA,0.14,0.7405,NA,0.1775,NA,"B"
"I",0.435,0.325,0.105,0.335,NA,0.065,0.115,"A"
"M",NA,NA,0.125,0.537,NA,0.1215,NA,"B"
"F",NA,NA,0.11,0.4085,0.165,0.102,NA,"A"
"I",NA,NA,0.105,0.2155,NA,0.0475,0.063,"A"
"I",0.52,NA,0.13,0.5345,0.2375,0.122,NA,"A"
"I",0.475,0.385,0.11,0.5735,NA,0.1025,0.136,"A"
"F",NA,0.41,0.145,0.8255,NA,0.204,0.245,"B"
"M",NA,NA,0.175,1.5365,0.6865,0.3585,0.405,"C"
"I",NA,NA,0.145,0.6735,NA,0.1345,0.22,"B"
"M",NA,NA,0.16,1.262,NA,0.2725,NA,"B"
"M",0.465,NA,0.125,0.5255,NA,0.135,NA,"C"
"I",0.375,NA,0.08,0.226,0.0975,0.04,NA,"A"
"F",0.455,NA,0.115,0.4305,NA,0.108,0.1245,"A"
"F",0.72,0.575,0.18,1.6705,NA,0.3605,NA,"C"
"M",NA,NA,0.17,1.56,NA,0.383,NA,"C"
"M",NA,NA,0.17,1.1315,NA,0.272,NA,"B"
"M",NA,0.465,0.12,1.0535,0.516,0.2185,NA,"B"
"I",0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,"C"
"M",0.46,0.355,0.11,0.415,0.215,0.082,NA,"C"
"I",NA,0.205,0.08,0.127,NA,0.039,0.042,"B"
"F",NA,0.455,0.145,0.8895,0.419,0.1715,NA,"B"
"I",0.445,NA,0.11,0.4235,0.182,0.0765,NA,"B"
"I",NA,NA,0.11,0.405,0.1695,0.092,0.1065,"A"
"I",NA,0.4,0.125,0.5575,NA,0.1195,NA,"B"
"I",0.62,NA,0.17,1.208,0.4805,0.3045,0.33,"C"
"F",NA,0.375,0.135,0.6,0.2225,0.129,NA,"C"
"M",NA,NA,0.19,1.0805,0.517,0.2495,NA,"B"
"I",NA,NA,0.08,0.0645,NA,0.0175,0.0215,"A"
"M",0.36,NA,0.105,0.241,0.0865,0.053,NA,"A"
"F",0.59,0.44,0.14,1.007,NA,0.2105,NA,"B"
"I",0.445,NA,0.1,0.378,NA,0.1,NA,"A"
"I",NA,0.345,0.12,0.3685,0.1525,0.0615,NA,"A"
"M",NA,NA,0.16,0.991,NA,0.168,NA,"C"
"F",0.515,0.395,0.135,0.516,NA,0.132,NA,"B"
"M",0.37,0.28,0.095,0.2225,NA,0.051,0.075,"A"
"M",NA,0.45,0.175,0.874,0.3275,0.202,0.305,"B"
"I",NA,NA,0.195,1.3165,NA,0.254,NA,"C"
"F",0.595,NA,0.15,0.9,NA,0.17,NA,"A"
"I",NA,0.365,0.125,0.5465,NA,0.1185,NA,"B"
"I",NA,NA,0.11,0.494,NA,0.09,0.1325,"A"
"M",0.615,0.475,0.19,1.4335,NA,0.305,NA,"B"
"F",NA,0.39,0.11,0.6355,0.1815,0.157,0.225,"C"
"F",0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,"C"
"I",0.53,0.415,0.13,0.694,NA,0.111,NA,"B"
"I",0.31,NA,0.105,0.2885,0.118,0.065,0.083,"A"
"I",0.555,NA,0.15,0.783,NA,0.1755,NA,"B"
"F",0.55,0.415,0.18,1.1655,NA,0.301,NA,"B"
"I",NA,NA,0.13,0.4075,NA,0.0645,NA,"C"
"I",0.215,0.15,0.03,0.0385,NA,0.005,0.01,"A"
"M",0.56,0.45,0.185,1.07,NA,0.175,NA,"C"
"F",0.6,NA,0.16,1.133,NA,0.2885,0.298,"C"
"I",0.44,0.33,0.11,0.3705,NA,0.084,0.12,"A"
"M",NA,0.435,0.17,0.873,0.382,0.183,0.2705,"B"
"M",NA,0.355,0.115,0.479,NA,0.1045,0.15,"A"
"M",0.175,0.125,0.04,0.024,0.0095,0.006,0.005,"A"
"M",NA,NA,0.23,2.8255,NA,0.419,NA,"C"
"F",NA,NA,0.14,1.0045,NA,0.2095,0.2515,"B"
"M",0.695,0.525,0.175,1.742,0.696,0.389,0.505,"C"
"M",NA,NA,0.16,1.035,NA,0.2525,NA,"C"
"F",NA,NA,0.15,1.2405,NA,0.2915,NA,"C"
"F",0.61,NA,0.14,0.909,0.438,0.2,0.22,"A"
"I",0.485,NA,0.13,0.5535,NA,0.112,NA,"A"
"M",NA,NA,0.1,0.439,NA,0.099,0.115,"A"
"I",0.48,0.38,0.125,0.6245,NA,0.1085,NA,"A"
"I",NA,NA,0.085,0.3155,NA,0.046,NA,"A"
"I",NA,NA,0.12,0.438,0.2115,0.083,NA,"B"
"M",0.48,0.38,0.13,0.6175,NA,0.142,0.175,"C"
"F",0.635,0.505,0.165,1.251,0.577,0.227,0.3825,"C"
"M",NA,0.505,0.165,1.307,NA,0.262,0.52,"B"
"M",0.605,0.455,0.16,1.1035,NA,0.3015,0.325,"B"
"M",NA,0.46,0.155,0.9595,0.4455,0.189,0.295,"C"
"F",NA,0.485,0.15,1.079,NA,0.2115,NA,"C"
"M",0.68,0.515,0.17,1.6115,NA,0.306,0.395,"C"
"M",NA,0.345,0.09,0.3795,0.143,0.074,0.125,"B"
"I",0.315,0.23,0.07,0.164,NA,0.04,0.045,"A"
"I",NA,NA,0.145,0.6095,NA,0.159,0.175,"B"
"F",NA,0.375,0.15,0.597,0.2615,0.135,NA,"C"
"I",0.625,NA,0.16,1.2395,NA,0.273,NA,"C"
"F",0.525,NA,0.13,0.6995,0.3115,0.131,NA,"B"
"I",0.54,0.43,0.14,0.8195,NA,0.1725,0.2295,"B"
"F",NA,0.55,0.21,1.7445,NA,0.305,0.625,"C"
"I",NA,0.33,0.11,0.358,0.1525,0.067,NA,"A"
"F",NA,0.455,0.175,1.013,0.342,0.207,NA,"C"
"I",NA,NA,0.125,0.5445,NA,0.115,0.13,"A"
"F",NA,0.45,0.135,0.7805,0.3345,0.185,0.21,"A"
"M",NA,0.46,0.18,1.145,NA,0.277,0.325,"C"
"M",0.6,NA,0.2,1.259,NA,0.1985,NA,"B"
"F",0.605,NA,0.165,1.2225,NA,0.202,NA,"C"
"I",0.62,0.45,0.135,0.924,NA,0.2265,0.2965,"B"
"M",0.53,0.41,0.125,0.769,NA,0.173,NA,"B"
"I",0.575,0.45,0.15,0.858,NA,0.166,NA,"B"
"F",NA,NA,0.205,1.7495,NA,0.4225,0.48,"C"
"I",NA,0.365,0.125,0.462,0.2135,0.0985,NA,"A"
"F",0.495,0.41,0.125,0.7555,NA,0.129,NA,"B"
"M",0.585,0.47,0.145,0.9565,NA,0.2365,0.265,"B"
"M",0.58,NA,0.155,1.4395,NA,0.273,NA,"B"
"M",NA,0.47,0.165,1.108,NA,0.2325,NA,"B"
"F",NA,NA,0.135,0.56,NA,0.137,0.145,"C"
"M",0.415,0.315,0.125,0.388,NA,0.09,0.125,"C"
"F",0.6,0.45,0.14,0.869,NA,0.195,NA,"C"
"M",0.64,NA,0.185,1.3035,NA,0.2635,NA,"C"
"F",0.69,NA,0.19,1.492,NA,0.3905,NA,"C"
"I",0.56,0.42,0.14,0.837,0.414,0.214,NA,"A"
"I",0.385,NA,0.085,0.2535,NA,0.0575,0.085,"A"
"F",NA,0.565,0.18,1.719,NA,0.407,NA,"C"
"M",NA,0.47,0.145,0.991,NA,0.1505,0.34,"C"
"F",NA,NA,0.17,1.711,NA,0.352,0.475,"B"
"F",NA,NA,0.155,0.93,NA,0.246,NA,"B"
"F",NA,0.535,0.19,1.242,NA,0.2475,0.39,"C"
"I",0.5,0.385,0.155,0.762,0.3795,0.161,NA,"C"
"I",0.505,NA,0.105,0.551,NA,0.103,0.171,"A"
"F",0.67,NA,0.19,1.527,0.5755,0.353,0.44,"C"
"F",0.64,0.52,0.175,1.248,0.4245,0.2595,NA,"C"
"I",0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,"B"
"I",0.395,NA,0.09,0.253,NA,0.05,NA,"A"
"I",NA,0.23,0.08,0.1625,0.065,0.05,NA,"A"
"M",0.72,0.6,0.235,2.2385,NA,0.411,NA,"C"
"F",0.605,NA,0.165,1.056,NA,0.2195,0.357,"B"
"M",0.29,NA,0.075,0.1165,0.043,0.0255,NA,"A"
"I",NA,0.445,0.165,0.832,NA,0.179,0.279,"B"
"F",NA,0.475,0.135,1.4405,NA,0.191,NA,"B"
"F",0.71,NA,0.195,1.7265,NA,0.3365,NA,"C"
"I",0.535,NA,0.13,0.657,NA,0.162,0.175,"A"
"F",NA,NA,0.16,0.8795,NA,0.215,NA,"A"
