F1	F2	F3	F4	F5	F6	F7	F8	class
I	0.665	0.5	0.17	1.2975	0.6035	0.291	NA	B
M	0.63	0.485	0.155	1.278	0.637	0.275	0.31	A
F	0.545	0.4	0.14	0.778	0.368	0.215	0.18	B
I	0.475	0.36	0.135	0.4355	0.196	0.0925	0.125	A
M	0.34	0.275	0.09	0.2065	0.0725	0.043	0.07	B
M	0.725	0.57	0.19	2.3305	1.253	0.541	0.52	B
M	0.635	0.515	0.16	1.2075	0.5385	0.282	0.345	C
I	0.515	0.39	0.125	0.5705	0.238	0.1265	0.185	A
I	0.19	0.145	0.04	0.038	0.0165	0.0065	0.015	A
I	0.525	0.4	0.14	0.601	0.2625	0.1285	0.1835	B
M	0.62	0.48	0.165	1.0725	0.4815	0.235	NA	B
M	0.575	0.47	0.14	0.8375	0.3485	0.1735	0.24	C
M	0.56	0.435	0.18	0.889	0.36	0.204	0.25	C
I	0.52	0.39	0.14	0.7325	0.2415	0.144	0.26	C
F	0.585	0.42	0.155	1.034	0.437	0.2225	0.32	C
M	0.56	0.45	0.175	1.011	0.3835	0.2065	0.37	C
I	0.255	0.195	0.055	0.0725	0.0285	0.017	NA	A
I	0.325	0.25	0.075	0.1585	0.075	0.0305	NA	A
F	0.68	0.55	0.175	1.473	0.713	0.282	NA	C
F	0.58	0.44	0.175	1.073	0.4005	0.2345	0.335	C
I	0.56	0.445	0.155	0.8735	0.3005	0.209	0.275	C
F	0.475	0.375	0.125	0.588	0.237	0.1715	0.155	B
F	0.5	0.38	0.14	0.6355	0.277	0.143	0.1785	A
I	0.28	0.21	0.065	0.111	0.0425	0.0285	0.03	A
I	0.55	0.465	0.15	0.936	0.481	0.174	NA	B
M	0.49	0.39	0.14	0.707	0.2795	0.2185	0.18	C
F	0.43	0.35	0.09	0.397	0.1575	0.089	0.12	B
M	0.53	0.405	0.13	0.738	0.2845	0.17	NA	B
F	0.675	0.53	0.195	1.4985	0.62	0.375	NA	B
M	0.375	0.285	0.095	0.253	0.096	0.0575	NA	B
F	0.585	0.47	0.17	1.099	0.3975	0.2325	0.358	C
M	0.675	0.545	0.185	1.7375	0.876	0.3135	NA	C
M	0.485	0.39	0.135	0.617	0.25	0.1345	NA	A
F	0.375	0.295	0.11	0.3005	0.1255	0.0575	0.1035	A
F	0.65	0.545	0.165	1.566	0.6645	0.3455	0.415	C
I	0.59	0.45	0.145	1.022	0.428	0.268	0.265	B
M	0.6	0.47	0.16	1.012	0.441	0.2015	0.305	B
M	0.445	0.35	0.14	0.5905	0.2025	0.158	0.19	C
I	0.5	0.38	0.125	0.519	0.2485	0.1135	NA	A
I	0.465	0.355	0.12	0.5805	0.255	0.0915	0.184	A
F	0.55	0.425	0.125	0.964	0.5475	0.159	0.215	A
M	0.505	0.385	0.15	0.6415	0.246	0.152	0.215	C
F	0.61	0.495	0.185	1.1085	0.3705	0.3135	0.33	C
I	0.37	0.28	0.09	0.2565	0.1255	0.0645	NA	A
I	0.44	0.35	0.11	0.3805	0.1575	0.0895	0.115	A
I	0.62	0.49	0.16	1.066	0.446	0.246	0.305	C
I	0.415	0.325	0.1	0.3335	0.1445	0.0715	0.095	A
F	0.55	0.47	0.15	0.897	0.377	0.184	0.29	B
F	0.74	0.575	0.22	2.012	0.8915	0.5265	NA	C
M	0.63	0.49	0.155	1.2525	0.63	0.246	0.289	B
M	0.595	0.475	0.16	1.3175	0.408	0.234	0.58	C
I	0.135	0.13	0.04	0.029	0.0125	0.0065	0.008	A
M	0.44	0.325	0.08	0.413	0.144	0.1015	NA	A
M	0.65	0.51	0.175	1.446	0.6485	0.2705	0.45	C
M	0.675	0.515	0.145	1.265	0.6025	0.299	NA	B
M	0.54	0.42	0.12	0.8115	0.392	0.1455	0.2235	B
I	0.4	0.265	0.1	0.2775	0.1245	0.0605	0.08	B
M	0.64	0.495	0.165	1.307	0.678	0.292	0.266	C
I	0.33	0.255	0.095	0.172	0.066	0.0255	0.06	A
I	0.375	0.28	0.08	0.226	0.105	0.047	0.065	A
M	0.59	0.5	0.165	1.1045	0.4565	0.2425	0.34	C
M	0.3	0.24	0.09	0.161	0.0725	0.039	NA	A
I	0.3	0.215	0.05	0.1185	0.048	0.0225	0.042	A
I	0.46	0.35	0.105	0.3705	0.1575	0.077	0.114	B
F	0.63	0.485	0.17	1.3205	0.5945	0.345	0.345	B
M	0.595	0.47	0.155	1.2015	0.492	0.3865	0.265	B
I	0.635	0.5	0.165	1.489	0.715	0.3445	NA	C
M	0.61	0.485	0.16	1.0145	0.5315	0.212	NA	A
I	0.61	0.475	0.17	1.0385	0.4435	0.241	0.32	C
M	0.525	0.405	0.16	0.792	0.316	0.1455	0.28	C
M	0.43	0.33	0.095	0.34	0.1315	0.085	NA	C
M	0.505	0.385	0.13	0.6435	0.3135	0.149	0.1515	A
M	0.51	0.38	0.135	0.681	0.3435	0.142	0.17	B
F	0.505	0.38	0.145	0.651	0.2935	0.19	0.17	C
F	0.555	0.44	0.155	1.016	0.4935	0.1855	NA	B
M	0.485	0.41	0.15	0.696	0.2405	0.1625	0.265	C
F	0.56	0.46	0.18	0.97	0.342	0.196	NA	C
M	0.57	0.48	0.18	0.9395	0.399	0.2	0.295	C
I	0.285	0.21	0.055	0.101	0.0415	0.017	NA	A
M	0.625	0.495	0.175	1.254	0.5815	0.286	NA	B
I	0.29	0.215	0.065	0.0985	0.0425	0.021	0.031	A
M	0.425	0.305	0.11	0.359	0.173	0.0875	0.0975	B
M	0.465	0.36	0.115	0.5795	0.295	0.1395	0.12	A
F	0.4	0.32	0.11	0.353	0.1405	0.0985	0.1	A
F	0.53	0.425	0.13	0.7585	0.325	0.197	NA	A
M	0.62	0.475	0.185	1.325	0.6045	0.325	0.33	C
M	0.675	0.525	0.175	1.402	0.483	0.3205	0.465	C
M	0.635	0.5	0.18	1.154	0.4405	0.2315	NA	B
F	0.655	0.515	0.2	1.494	0.7255	0.309	0.405	C
F	0.675	0.535	0.16	1.41	0.592	0.3175	0.42	C
I	0.53	0.405	0.13	0.6615	0.2945	0.1395	0.19	B
M	0.555	0.41	0.125	0.599	0.2345	0.1465	NA	A
F	0.67	0.535	0.185	1.597	0.6275	0.35	0.47	C
F	0.595	0.475	0.165	1.148	0.444	0.214	0.37	B
M	0.5	0.38	0.155	0.66	0.2655	0.1365	0.215	C
M	0.655	0.545	0.19	1.4245	0.6325	0.333	0.378	B
F	0.46	0.36	0.115	0.4755	0.2105	0.105	0.16	A
I	0.56	0.425	0.14	0.9175	0.4005	0.1975	0.26	B
I	0.21	0.15	0.055	0.0465	0.017	0.012	0.015	A
M	0.5	0.37	0.15	1.0615	0.494	0.223	NA	B
M	0.69	0.54	0.185	1.6195	0.533	0.353	NA	C
F	0.585	0.435	0.14	0.6955	0.3085	0.129	NA	A
F	0.54	0.42	0.13	0.7505	0.368	0.1675	NA	B
I	0.37	0.275	0.1	0.2295	0.0885	0.0465	0.07	A
I	0.3	0.23	0.095	0.1385	0.056	0.0365	NA	A
I	0.415	0.325	0.1	0.3215	0.1535	0.0595	0.105	B
F	0.58	0.5	0.165	0.925	0.37	0.185	0.3005	B
I	0.475	0.355	0.115	0.5195	0.279	0.088	0.1325	A
F	0.615	0.48	0.165	1.1615	0.513	0.301	0.305	B
I	0.47	0.355	0.12	0.4915	0.1765	0.1125	0.1325	B
M	0.67	0.525	0.18	1.4915	0.728	0.343	NA	B
M	0.64	0.485	0.15	1.098	0.5195	0.222	0.3175	B
F	0.665	0.525	0.21	1.644	0.818	0.3395	NA	B
I	0.6	0.48	0.17	0.9175	0.38	0.2225	0.29	A
F	0.66	0.52	0.2	1.676	0.673	0.4805	NA	C
F	0.655	0.51	0.16	1.092	0.396	0.2825	0.37	C
M	0.635	0.49	0.175	1.375	0.623	0.2705	0.395	C
I	0.44	0.345	0.12	0.487	0.1965	0.108	0.16	C
F	0.57	0.435	0.14	0.8585	0.3905	0.196	NA	A
I	0.3	0.23	0.085	0.117	0.05	0.0175	0.0415	A
F	0.595	0.455	0.155	1.0605	0.5135	0.2165	0.3	C
I	0.555	0.425	0.145	0.7905	0.3485	0.1765	0.225	B
F	0.71	0.5	0.15	1.3165	0.6835	0.2815	0.28	B
F	0.55	0.425	0.145	0.797	0.297	0.15	0.265	B
I	0.415	0.32	0.11	0.3735	0.175	0.0755	0.109	A
M	0.495	0.4	0.12	0.6605	0.2605	0.161	0.19	C
M	0.705	0.56	0.22	1.981	0.8175	0.3085	NA	C
M	0.5	0.4	0.125	0.6725	0.336	0.12	NA	A
I	0.33	0.245	0.065	0.1445	0.058	0.032	NA	A
M	0.575	0.45	0.155	0.886	0.3605	0.211	0.2575	B
M	0.575	0.48	0.15	0.9465	0.4355	0.2605	NA	B
I	0.49	0.385	0.14	0.5425	0.198	0.127	0.175	C
I	0.36	0.27	0.09	0.232	0.12	0.0435	0.056	A
I	0.475	0.34	0.105	0.4535	0.203	0.08	NA	B
F	0.49	0.385	0.15	0.7865	0.241	0.14	0.24	C
F	0.65	0.51	0.17	1.567	0.7245	0.349	0.391	B
I	0.51	0.385	0.15	0.625	0.3095	0.119	NA	A
I	0.44	0.34	0.105	0.344	0.123	0.081	0.125	A
I	0.34	0.25	0.07	0.2225	0.104	0.0425	0.055	A
M	0.62	0.485	0.205	1.219	0.3875	0.2505	0.385	C
F	0.605	0.495	0.19	1.437	0.469	0.2655	0.41	C
I	0.4	0.315	0.1	0.3225	0.143	0.0735	NA	A
M	0.545	0.43	0.155	0.8035	0.409	0.144	0.228	A
M	0.565	0.445	0.15	0.796	0.3635	0.184	NA	A
F	0.37	0.275	0.1	0.2225	0.093	0.026	0.08	A
M	0.555	0.44	0.145	0.85	0.4165	0.1685	0.23	A
F	0.39	0.3	0.1	0.265	0.1075	0.06	NA	C
I	0.34	0.265	0.07	0.185	0.0625	0.0395	0.07	A
I	0.465	0.345	0.11	0.393	0.1825	0.0735	0.12	A
I	0.52	0.395	0.135	0.633	0.2985	0.1295	0.175	B
F	0.535	0.46	0.145	0.7875	0.3395	0.2005	0.2	A
M	0.66	0.51	0.165	1.6375	0.7685	0.3545	NA	C
F	0.575	0.46	0.165	1.124	0.2985	0.1785	0.44	C
F	0.545	0.415	0.2	1.358	0.567	0.318	NA	B
F	0.57	0.43	0.16	0.811	0.3875	0.159	0.2285	B
M	0.61	0.475	0.165	1.116	0.428	0.2205	0.315	C
M	0.63	0.51	0.19	1.4985	0.4125	0.3075	NA	C
M	0.35	0.275	0.11	0.2925	0.1225	0.0635	NA	A
M	0.385	0.305	0.09	0.2775	0.109	0.0515	0.1	B
F	0.47	0.36	0.145	0.537	0.1725	0.1375	NA	C
I	0.435	0.355	0.125	0.4075	0.1535	0.074	NA	B
I	0.515	0.36	0.125	0.4725	0.1815	0.125	NA	B
M	0.535	0.42	0.165	0.9195	0.3355	0.1985	0.26	C
M	0.565	0.435	0.185	0.9815	0.329	0.136	0.39	C
M	0.625	0.485	0.16	1.2135	0.631	0.2235	NA	B
F	0.645	0.5	0.17	1.1845	0.4805	0.274	0.355	C
M	0.59	0.47	0.16	1.206	0.479	0.2425	0.309	A
M	0.705	0.56	0.165	1.675	0.797	0.4095	NA	B
F	0.55	0.465	0.18	1.2125	0.3245	0.205	NA	C
M	0.625	0.48	0.185	1.2065	0.587	0.29	0.286	A
F	0.57	0.465	0.155	0.872	0.3245	0.239	0.285	C
F	0.46	0.35	0.115	0.44	0.19	0.1025	0.13	A
I	0.5	0.36	0.12	0.439	0.1875	0.1055	0.1305	A
I	0.415	0.31	0.11	0.2965	0.123	0.057	0.0995	B
I	0.58	0.445	0.125	0.7095	0.303	0.1405	0.235	B
M	0.5	0.41	0.15	0.662	0.2815	0.137	0.22	C
F	0.63	0.475	0.15	1.172	0.536	0.254	NA	C
F	0.545	0.41	0.14	0.7405	0.3565	0.1775	NA	B
I	0.435	0.325	0.105	0.335	0.136	0.065	0.115	A
M	0.475	0.37	0.125	0.537	0.222	0.1215	0.15	B
F	0.465	0.35	0.11	0.4085	0.165	0.102	0.131	A
I	0.365	0.27	0.105	0.2155	0.0915	0.0475	0.063	A
I	0.52	0.38	0.13	0.5345	0.2375	0.122	NA	A
I	0.475	0.385	0.11	0.5735	0.311	0.1025	0.136	A
F	0.53	0.41	0.145	0.8255	0.375	0.204	0.245	B
M	0.65	0.525	0.175	1.5365	0.6865	0.3585	0.405	C
I	0.585	0.42	0.145	0.6735	0.2895	0.1345	0.22	B
M	0.59	0.48	0.16	1.262	0.5685	0.2725	0.335	B
M	0.465	0.355	0.125	0.5255	0.2025	0.135	NA	C
I	0.375	0.285	0.08	0.226	0.0975	0.04	0.0725	A
F	0.455	0.365	0.115	0.4305	0.184	0.108	0.1245	A
F	0.72	0.575	0.18	1.6705	0.732	0.3605	NA	C
M	0.685	0.53	0.17	1.56	0.647	0.383	0.465	C
M	0.6	0.475	0.17	1.1315	0.508	0.272	0.309	B
M	0.575	0.465	0.12	1.0535	0.516	0.2185	0.235	B
I	0.565	0.43	0.15	0.8215	0.332	0.1685	0.29	C
M	0.46	0.355	0.11	0.415	0.215	0.082	0.13	C
I	0.28	0.205	0.08	0.127	0.052	0.039	NA	B
F	0.6	0.455	0.145	0.8895	0.419	0.1715	NA	B
I	0.445	0.36	0.11	0.4235	0.182	0.0765	0.14	B
I	0.425	0.325	0.11	0.405	0.1695	0.092	NA	A
I	0.51	0.4	0.125	0.5575	0.2615	0.1195	0.1525	B
I	0.62	0.485	0.17	1.208	0.4805	0.3045	0.33	C
F	0.465	0.375	0.135	0.6	0.2225	0.129	0.23	C
M	0.61	0.45	0.19	1.0805	0.517	0.2495	NA	B
I	0.235	0.175	0.08	0.0645	0.0215	0.0175	NA	A
M	0.36	0.295	0.105	0.241	0.0865	0.053	0.095	A
F	0.59	0.44	0.14	1.007	0.4775	0.2105	NA	B
I	0.445	0.325	0.1	0.378	0.1795	0.1	NA	A
I	0.47	0.345	0.12	0.3685	0.1525	0.0615	0.125	A
M	0.55	0.44	0.16	0.991	0.348	0.168	0.375	C
F	0.515	0.395	0.135	0.516	0.2015	0.132	0.162	B
M	0.37	0.28	0.095	0.2225	0.0805	0.051	0.075	A
M	0.555	0.45	0.175	0.874	0.3275	0.202	0.305	B
I	0.58	0.49	0.195	1.3165	0.5305	0.254	0.41	C
F	0.595	0.435	0.15	0.9	0.4175	0.17	0.265	A
I	0.475	0.365	0.125	0.5465	0.229	0.1185	NA	B
I	0.5	0.38	0.11	0.494	0.218	0.09	0.1325	A
M	0.615	0.475	0.19	1.4335	0.7315	0.305	NA	B
F	0.465	0.39	0.11	0.6355	0.1815	0.157	0.225	C
F	0.62	0.51	0.205	1.3475	0.4775	0.2565	0.48	C
I	0.53	0.415	0.13	0.694	0.3905	0.111	NA	B
I	0.31	0.24	0.105	0.2885	0.118	0.065	0.083	A
I	0.555	0.43	0.15	0.783	0.345	0.1755	NA	B
F	0.55	0.415	0.18	1.1655	0.502	0.301	NA	B
I	0.445	0.345	0.13	0.4075	0.1365	0.0645	0.18	C
I	0.215	0.15	0.03	0.0385	0.0115	0.005	0.01	A
M	0.56	0.45	0.185	1.07	0.3805	0.175	0.41	C
F	0.6	0.465	0.16	1.133	0.466	0.2885	0.298	C
I	0.44	0.33	0.11	0.3705	0.1545	0.084	0.12	A
M	0.57	0.435	0.17	0.873	0.382	0.183	NA	B
M	0.45	0.355	0.115	0.479	0.2125	0.1045	0.15	A
M	0.175	0.125	0.04	0.024	0.0095	0.006	0.005	A
M	0.73	0.595	0.23	2.8255	1.1465	0.419	NA	C
F	0.595	0.46	0.14	1.0045	0.4655	0.2095	0.2515	B
M	0.695	0.525	0.175	1.742	0.696	0.389	0.505	C
M	0.62	0.49	0.16	1.035	0.44	0.2525	0.285	C
F	0.61	0.485	0.15	1.2405	0.6025	0.2915	0.3085	C
F	0.61	0.43	0.14	0.909	0.438	0.2	0.22	A
I	0.485	0.375	0.13	0.5535	0.266	0.112	NA	A
M	0.48	0.36	0.1	0.439	0.194	0.099	0.115	A
I	0.48	0.38	0.125	0.6245	0.3395	0.1085	NA	A
I	0.375	0.28	0.085	0.3155	0.187	0.046	0.067	A
I	0.44	0.34	0.12	0.438	0.2115	0.083	0.12	B
M	0.48	0.38	0.13	0.6175	0.3	0.142	0.175	C
F	0.635	0.505	0.165	1.251	0.577	0.227	NA	C
M	0.645	0.505	0.165	1.307	0.4335	0.262	0.52	B
M	0.605	0.455	0.16	1.1035	0.421	0.3015	0.325	B
M	0.6	0.46	0.155	0.9595	0.4455	0.189	0.295	C
F	0.585	0.485	0.15	1.079	0.4145	0.2115	0.356	C
M	0.68	0.515	0.17	1.6115	0.8415	0.306	0.395	C
M	0.445	0.345	0.09	0.3795	0.143	0.074	0.125	B
I	0.315	0.23	0.07	0.164	0.0625	0.04	0.045	A
I	0.525	0.4	0.145	0.6095	0.248	0.159	0.175	B
F	0.495	0.375	0.15	0.597	0.2615	0.135	NA	C
I	0.625	0.46	0.16	1.2395	0.55	0.273	0.38	C
F	0.525	0.4	0.13	0.6995	0.3115	0.131	NA	B
I	0.54	0.43	0.14	0.8195	0.3935	0.1725	0.2295	B
F	0.68	0.55	0.21	1.7445	0.5975	0.305	0.625	C
I	0.445	0.33	0.11	0.358	0.1525	0.067	0.1185	A
F	0.565	0.455	0.175	1.013	0.342	0.207	0.35	C
I	0.49	0.375	0.125	0.5445	0.279	0.115	0.13	A
F	0.57	0.45	0.135	0.7805	0.3345	0.185	0.21	A
M	0.58	0.46	0.18	1.145	0.48	0.277	0.325	C
M	0.6	0.465	0.2	1.259	0.6405	0.1985	NA	B
F	0.605	0.45	0.165	1.2225	0.357	0.202	0.385	C
I	0.62	0.45	0.135	0.924	0.358	0.2265	NA	B
M	0.53	0.41	0.125	0.769	0.346	0.173	0.215	B
I	0.575	0.45	0.15	0.858	0.449	0.166	0.215	B
F	0.72	0.59	0.205	1.7495	0.7755	0.4225	0.48	C
I	0.45	0.365	0.125	0.462	0.2135	0.0985	NA	A
F	0.495	0.41	0.125	0.7555	0.3355	0.129	NA	B
M	0.585	0.47	0.145	0.9565	0.4025	0.2365	0.265	B
M	0.58	0.46	0.155	1.4395	0.6715	0.273	NA	B
M	0.595	0.47	0.165	1.108	0.4915	0.2325	NA	B
F	0.45	0.35	0.135	0.56	0.231	0.137	0.145	C
M	0.415	0.315	0.125	0.388	0.068	0.09	0.125	C
F	0.6	0.45	0.14	0.869	0.3425	0.195	NA	C
M	0.64	0.5	0.185	1.3035	0.4445	0.2635	0.465	C
F	0.69	0.525	0.19	1.492	0.6425	0.3905	0.42	C
I	0.56	0.42	0.14	0.837	0.414	0.214	0.2	A
I	0.385	0.295	0.085	0.2535	0.103	0.0575	NA	A
F	0.72	0.565	0.18	1.719	0.8465	0.407	NA	C
M	0.595	0.47	0.145	0.991	0.4035	0.1505	0.34	C
F	0.675	0.525	0.17	1.711	0.8365	0.352	0.475	B
F	0.58	0.45	0.155	0.93	0.385	0.246	0.265	B
F	0.635	0.535	0.19	1.242	0.576	0.2475	0.39	C
I	0.5	0.385	0.155	0.762	0.3795	0.161	0.19	C
I	0.505	0.395	0.105	0.551	0.248	0.103	NA	A
F	0.67	0.525	0.19	1.527	0.5755	0.353	0.44	C
F	0.64	0.52	0.175	1.248	0.4245	0.2595	0.48	C
I	0.455	0.35	0.13	0.4725	0.215	0.0745	0.15	B
I	0.395	0.3	0.09	0.253	0.1155	0.05	0.075	A
I	0.295	0.23	0.08	0.1625	0.065	0.05	0.0385	A
M	0.72	0.6	0.235	2.2385	0.984	0.411	NA	C
F	0.605	0.475	0.165	1.056	0.433	0.2195	0.357	B
M	0.29	0.23	0.075	0.1165	0.043	0.0255	0.04	A
I	0.56	0.445	0.165	0.832	0.3455	0.179	NA	B
F	0.6	0.475	0.135	1.4405	0.5885	0.191	0.3175	B
F	0.71	0.565	0.195	1.7265	0.638	0.3365	0.565	C
I	0.535	0.4	0.13	0.657	0.2835	0.162	0.175	A
F	0.49	0.355	0.16	0.8795	0.3485	0.215	0.2825	A
M	0.505	0.4	0.135	0.723	0.377	0.149	0.178	A
I	0.605	0.47	0.145	0.8025	0.379	0.2265	0.22	B
I	0.575	0.45	0.145	0.795	0.364	0.1505	0.26	B
F	0.63	0.495	0.145	1.147	0.5455	0.266	0.2885	B
F	0.49	0.375	0.135	0.6125	0.2555	0.102	0.22	C
I	0.44	0.355	0.12	0.495	0.231	0.11	0.125	A
F	0.655	0.52	0.2	1.5475	0.713	0.314	NA	B
F	0.65	0.505	0.175	1.2075	0.5105	0.262	0.39	B
I	0.575	0.45	0.135	0.8245	0.3375	0.2115	0.239	C
